affiliation,citations
60029306,2151.0
60010851,2134.0
60000221,1829.0
60006622,1687.0
60019722,1660.0
60011604,1601.0
60031041,1574.0
112599856,1539.0
60027363,1523.0
60078563,1521.0
60023237,1306.0
60025278,1175.0
60111656,1052.0
60021391,1005.0
60001619,994.0
60019499,968.0
60022927,968.0
60023932,901.0
60020258,858.0
60031150,840.0
60005488,817.0
60006471,804.0
60020547,794.0
60033100,773.0
60027884,738.0
60003353,736.0
60006019,734.0
60011347,710.0
60031707,705.0
60029157,701.0
60103926,699.0
60028333,694.0
60025761,651.0
60004956,648.0
60104463,646.0
60027277,598.0
60071163,590.0
60013551,584.0
60022414,579.0
60007278,577.0
60002092,576.0
60002612,565.0
60017161,548.0
60029322,548.0
60030867,545.0
60020321,540.0
60025084,537.0
60021182,534.0
60109392,530.0
60022422,525.0
60087824,520.0
60005762,514.0
60008928,511.0
60013682,508.0
60026981,497.0
60087826,496.0
60002494,490.0
60000627,473.0
60002980,466.0
60010065,456.0
60020599,455.0
60021005,453.0
60082291,433.0
60020304,431.0
60016849,431.0
60026914,428.0
60031430,413.0
60014153,404.0
113071684,402.0
60104012,399.0
60014171,391.0
60018870,391.0
60015881,387.0
60120086,387.0
60025858,386.0
60000745,374.0
60032053,372.0
60007711,372.0
60013140,366.0
60026617,364.0
60103695,363.0
60021918,361.0
60017705,357.0
60069889,356.0
60019616,355.0
60189135,355.0
60013402,354.0
60025778,353.0
60059360,353.0
60026553,343.0
60022091,343.0
60105683,343.0
60010348,342.0
60084916,341.0
60000872,337.0
60015481,337.0
60004354,337.0
60002162,334.0
60073587,333.0
60017456,332.0
60019578,330.0
60004681,330.0
60031268,329.0
60018229,328.0
60272995,325.0
60272407,324.0
60030035,324.0
60172698,324.0
60022002,323.0
60016521,322.0
60013141,320.0
60004156,318.0
60081483,316.0
60025111,315.0
60002947,315.0
60004923,313.0
60015150,309.0
60003342,301.0
60023133,300.0
60030931,297.0
60123520,297.0
60019497,296.0
60016206,294.0
60023908,294.0
60064143,289.0
60010689,288.0
60007333,288.0
60014966,287.0
60014168,286.0
60027090,284.0
60019533,281.0
60006337,280.0
60020259,278.0
60029543,277.0
60025988,276.0
60031248,275.0
60013918,274.0
60105242,273.0
60009226,269.0
60089921,266.0
60001800,258.0
60015206,257.0
60103148,256.0
60010571,255.0
60102538,250.0
60020585,246.0
60071147,244.0
60013959,242.0
122308129,238.0
60027716,236.0
60014439,232.0
60010126,232.0
60026306,231.0
60008827,231.0
60007008,230.0
60009512,229.0
60014965,229.0
60027561,229.0
60068746,228.0
60001711,228.0
60077835,228.0
60107601,228.0
60003269,227.0
60026708,225.0
60028205,225.0
60008950,224.0
60005837,222.0
60025804,220.0
60033316,218.0
60119141,217.0
60002575,217.0
60107379,217.0
60012708,216.0
60031011,213.0
60113595,213.0
60071929,213.0
60003337,213.0
60077431,213.0
60011425,213.0
60105310,213.0
121824915,213.0
60024724,209.0
60009602,208.0
60117407,208.0
117819755,208.0
60009697,207.0
60104392,207.0
60031706,205.0
60118639,205.0
60019647,204.0
60014982,203.0
60029873,203.0
60005515,203.0
60019656,202.0
60273098,202.0
60001821,202.0
60018805,199.0
124614438,197.0
124614730,197.0
113843551,197.0
60026851,196.0
60031106,195.0
60021439,195.0
108214116,192.0
60020650,191.0
60231664,189.0
60011278,189.0
60024324,187.0
60117779,187.0
60006222,187.0
60025785,186.0
60014097,185.0
102029861,185.0
60004538,185.0
60032442,183.0
60046504,183.0
60002686,183.0
60105045,183.0
60032179,182.0
60018554,182.0
60022210,182.0
60005465,180.0
60006356,180.0
60082183,180.0
60024542,180.0
60021967,180.0
60009800,179.0
60028947,179.0
60001439,177.0
60029622,177.0
60031475,177.0
60029170,176.0
60001604,176.0
60000481,175.0
60024895,175.0
60001989,175.0
60071364,175.0
60021243,175.0
60022528,174.0
118823068,174.0
100419372,174.0
60009400,173.0
60031031,172.0
60007903,172.0
60028265,172.0
119760986,172.0
60011905,171.0
60012556,171.0
60096337,171.0
60004407,169.0
60029445,169.0
60108488,168.0
60007174,168.0
60013372,168.0
60018926,167.0
60015197,167.0
112580908,166.0
107911896,165.0
60031287,165.0
60002769,165.0
60003771,165.0
60025199,163.0
60000823,161.0
60011941,160.0
60031514,160.0
60012197,160.0
60021199,159.0
60000239,159.0
60083745,159.0
60119973,159.0
112659638,159.0
60002963,158.0
60121574,158.0
60032280,157.0
60021859,157.0
60018308,157.0
60073652,156.0
60032350,153.0
113489589,151.0
60071359,151.0
60007843,150.0
60007566,150.0
60022134,150.0
60006541,150.0
60111747,150.0
60108057,148.0
60030835,147.0
60000906,147.0
60021841,147.0
60021796,147.0
60002581,147.0
125651664,147.0
60108260,147.0
60007776,146.0
60272288,145.0
115178096,145.0
60008665,144.0
60026479,144.0
60018205,144.0
60022659,143.0
60029311,143.0
60013183,143.0
60015626,143.0
60024594,142.0
60176034,142.0
60175816,141.0
60017293,141.0
60102148,141.0
60025028,140.0
60090708,140.0
60020086,140.0
60006782,139.0
60180327,139.0
60029380,139.0
60006940,139.0
115317468,139.0
60028488,138.0
60117377,137.0
60004708,136.0
60009952,135.0
114949752,135.0
116275180,135.0
60015186,134.0
60027152,133.0
60016912,132.0
60023143,130.0
60028378,130.0
60013791,129.0
60026420,129.0
60071560,128.0
60073423,128.0
60026904,128.0
116075536,127.0
60111127,127.0
60005244,126.0
60030101,126.0
60121680,126.0
120877220,126.0
60004750,125.0
60001456,125.0
60016248,125.0
60032543,124.0
60009409,124.0
60028186,123.0
60012345,123.0
60104659,123.0
60122052,123.0
122410945,123.0
60000689,123.0
60009254,122.0
60009625,122.0
60023256,122.0
60008042,122.0
60009860,122.0
60030162,122.0
60019113,122.0
120951769,122.0
60110549,122.0
60007618,121.0
60024445,120.0
114661666,120.0
60031004,119.0
60003553,119.0
60192082,119.0
60011779,119.0
60005429,119.0
60014344,119.0
60021377,119.0
60011362,118.0
60272416,118.0
60018353,118.0
60268829,118.0
60000673,117.0
60032730,117.0
60032619,117.0
60012614,117.0
60110524,117.0
60115495,116.0
60117886,116.0
60006832,115.0
60106535,115.0
60025235,114.0
60033389,113.0
60001769,113.0
60019218,113.0
60068806,113.0
60018038,112.0
60118017,112.0
60023471,112.0
60012630,112.0
60021120,111.0
60017798,111.0
60068694,111.0
60021624,110.0
60026610,110.0
60001422,110.0
60022279,110.0
60016536,110.0
60008539,109.0
60027666,109.0
60022281,109.0
60002299,109.0
60104350,109.0
60089176,109.0
60023636,108.0
116154235,108.0
60032270,107.0
60007989,107.0
60020583,107.0
60089706,107.0
60029470,106.0
60011001,106.0
60073482,106.0
60031126,106.0
60118451,105.0
60103153,105.0
60018319,105.0
60008232,105.0
60114363,105.0
60001478,105.0
60085748,105.0
60027451,105.0
60025948,105.0
60118022,103.0
60003858,103.0
60097745,103.0
60000036,103.0
60030447,102.0
60024438,102.0
60007249,102.0
60002952,101.0
60008435,101.0
60030718,101.0
60107015,100.0
60239219,100.0
60273583,100.0
60227299,100.0
60021474,100.0
120532717,99.0
60025903,99.0
60073530,99.0
60012603,99.0
60071399,98.0
60071181,98.0
60105111,98.0
60011754,97.0
60085207,97.0
60103653,97.0
60211585,97.0
60031846,97.0
60020675,97.0
60009999,96.0
60032987,96.0
118017198,96.0
60028419,96.0
60017134,96.0
60010884,95.0
60008506,95.0
112649934,95.0
60031541,95.0
60031777,94.0
101908492,94.0
60028442,93.0
60003892,93.0
60032955,93.0
60273019,93.0
60024609,92.0
60002240,92.0
60008898,92.0
60010365,91.0
60104286,91.0
60022778,91.0
60025038,91.0
60025757,91.0
60006429,90.0
60033291,90.0
116370918,90.0
60111838,90.0
60115214,90.0
60032873,89.0
60003467,89.0
60027161,89.0
60001298,89.0
60019209,89.0
60007592,89.0
60016211,89.0
60106326,89.0
60027550,88.0
60007155,88.0
60106157,88.0
60020261,88.0
60003630,88.0
60006288,88.0
60073555,87.0
60025371,87.0
60012351,87.0
60028900,87.0
60077968,87.0
60029942,86.0
60029616,86.0
60018491,86.0
60025160,86.0
60017609,86.0
60016828,86.0
60104915,86.0
60029241,85.0
60012954,85.0
60006726,85.0
60021200,85.0
60006514,85.0
60004678,85.0
118921864,85.0
60071885,84.0
60071360,84.0
60005510,84.0
60000879,84.0
60104351,84.0
113151025,84.0
60106017,83.0
60002793,83.0
118734927,83.0
120258236,83.0
60029507,82.0
60004862,82.0
60002658,82.0
60003138,82.0
60071806,82.0
60029079,82.0
109491169,81.0
60017326,81.0
60020661,81.0
60019000,81.0
112692904,80.0
60008724,80.0
60014070,80.0
111295402,80.0
60109512,79.0
60030270,79.0
60122521,79.0
60011373,78.0
60000712,78.0
60032203,78.0
60106033,78.0
60138498,78.0
60071395,78.0
60103525,78.0
60003977,77.0
60117839,77.0
60138680,77.0
60015780,77.0
60104341,77.0
60021255,77.0
60007215,76.0
60102125,76.0
60017311,76.0
60013623,76.0
60017521,76.0
60014347,76.0
60075693,75.0
60104290,75.0
60031818,75.0
60024690,75.0
60021121,75.0
60018844,75.0
60002128,75.0
60106641,75.0
60105048,75.0
107005019,75.0
120811748,75.0
60017962,75.0
60025063,74.0
60026320,74.0
60012035,74.0
60005286,74.0
60028630,74.0
60020432,74.0
123606985,74.0
60087393,73.0
60027546,73.0
60032389,73.0
122513332,73.0
60006191,73.0
60113557,73.0
60187514,73.0
112425871,73.0
60028891,72.0
60012729,72.0
60030074,72.0
60104653,72.0
60017803,72.0
60031155,72.0
60029040,72.0
60005273,71.0
60033284,71.0
60127212,71.0
60010614,71.0
60004789,71.0
119729880,71.0
122937623,71.0
60033358,71.0
60104814,71.0
112934567,71.0
60069722,71.0
60088580,71.0
60027800,70.0
60030318,70.0
60006723,70.0
60001576,70.0
60117630,70.0
60022676,70.0
60003146,70.0
114071445,70.0
114302656,70.0
60028629,69.0
60000142,69.0
60025641,69.0
60029570,69.0
60027282,69.0
60116965,69.0
60020195,69.0
60004179,69.0
101297110,69.0
60018208,68.0
60032205,68.0
60105689,68.0
107392848,68.0
60000060,68.0
60023478,67.0
60023380,67.0
60003640,67.0
60015356,67.0
60001701,67.0
120477281,67.0
60005027,67.0
119217908,67.0
115508967,67.0
60023955,67.0
124476575,67.0
60000964,66.0
60017482,66.0
60023208,66.0
60029526,66.0
60019683,66.0
60012704,66.0
60071768,66.0
114960647,66.0
60274761,66.0
60170293,66.0
60023610,65.0
60024266,65.0
60000891,65.0
122256399,65.0
60027649,65.0
60012659,65.0
60071189,65.0
118034193,65.0
60025225,65.0
120181346,65.0
60046703,65.0
60072749,65.0
126418222,65.0
60010421,65.0
60026737,65.0
60089631,65.0
60013435,64.0
60027294,64.0
60004505,64.0
60025152,64.0
60103891,64.0
60007253,64.0
60008088,63.0
60002306,63.0
60016777,63.0
60011997,63.0
60021763,63.0
60007363,63.0
60104763,63.0
60012306,63.0
60212763,63.0
60007652,63.0
60012293,62.0
115303969,62.0
60118617,62.0
60073726,62.0
60001881,62.0
60015815,62.0
60032922,62.0
60013866,62.0
60138704,62.0
60009164,61.0
60004424,61.0
60010060,61.0
112918600,61.0
60003662,60.0
60022229,60.0
60027821,60.0
60007004,60.0
114268509,60.0
60022109,60.0
60009246,60.0
60071894,60.0
60010146,60.0
60078524,60.0
60028218,60.0
60003122,59.0
60027863,59.0
60071676,59.0
60016437,59.0
60000635,59.0
60006683,59.0
60106335,59.0
113152505,59.0
60016238,59.0
60121458,58.0
60001018,58.0
60073475,58.0
60003666,58.0
60016318,58.0
60003078,58.0
120017526,58.0
120948060,58.0
60093578,58.0
118510949,58.0
60008592,57.0
60031828,57.0
125880175,57.0
125879922,57.0
125879782,57.0
125879798,57.0
60108691,57.0
60231617,57.0
60017606,57.0
60273094,57.0
60000990,57.0
60002105,57.0
60023654,57.0
122406867,57.0
60130028,56.0
60004003,56.0
60102081,56.0
60159605,56.0
60013789,56.0
120501772,56.0
60025756,56.0
60011832,55.0
60109519,55.0
60006164,55.0
60026710,55.0
60011019,55.0
60022461,55.0
60008611,55.0
60012873,55.0
60009160,55.0
60025153,55.0
60257059,55.0
60016077,55.0
60018537,55.0
60112807,55.0
60030274,55.0
60016053,55.0
60001873,54.0
60118019,54.0
60026263,54.0
60031806,54.0
60017605,54.0
60008332,54.0
60003634,54.0
60277287,54.0
60007966,53.0
60118763,53.0
60118800,53.0
60012070,53.0
60008988,53.0
60103673,53.0
60025837,53.0
60013983,53.0
60020167,53.0
60076774,53.0
60024234,53.0
125122426,53.0
112569779,53.0
60013361,53.0
112979721,53.0
60003868,53.0
60017750,53.0
60029503,53.0
60015574,52.0
60015157,52.0
60032624,52.0
60097223,52.0
60000937,52.0
60109296,52.0
60017672,52.0
60002999,52.0
105799758,52.0
60077530,52.0
117380199,52.0
60004967,51.0
60015003,51.0
60118890,51.0
60014304,51.0
60030840,51.0
60117660,51.0
60003427,51.0
60025709,51.0
60001002,51.0
60020623,51.0
60104665,51.0
60031100,51.0
60028876,51.0
60106884,51.0
60008708,51.0
60013609,51.0
60008523,50.0
60083498,50.0
60005816,50.0
60088076,50.0
60112576,50.0
60009559,50.0
60000174,49.0
60004935,49.0
60016818,49.0
120979981,49.0
60112104,49.0
60112239,49.0
60123663,49.0
117986866,49.0
113245005,49.0
60112046,49.0
60005949,49.0
60020345,49.0
60103558,49.0
60027072,49.0
60029709,49.0
60029276,49.0
60026515,49.0
60029999,49.0
113459816,49.0
60069551,49.0
60021984,49.0
60069713,49.0
112701837,49.0
120452666,49.0
60109517,49.0
60004518,48.0
60006407,48.0
106740951,48.0
115827858,48.0
113887549,48.0
60012464,48.0
60084813,48.0
60189790,48.0
60071357,48.0
60004630,48.0
60018476,48.0
60030482,47.0
60001529,47.0
60025345,47.0
60072035,47.0
60016930,47.0
60030807,47.0
60027245,47.0
60014313,47.0
60026134,47.0
60078212,47.0
60004206,47.0
60130032,47.0
60134300,47.0
