country,citations
China,23669.0
United States,16306.0
Iran,6522.0
Australia,5096.0
Germany,4147.0
India,4091.0
Canada,3700.0
South Korea,2992.0
Viet Nam,2787.0
United Kingdom,2764.0
Italy,2682.0
Spain,1944.0
France,1603.0
Netherlands,1528.0
Malaysia,1464.0
Norway,1397.0
Portugal,1335.0
Brazil,1239.0
Japan,1225.0
Turkey,1180.0
Switzerland,1166.0
Austria,1018.0
Egypt,972.0
Iraq,959.0
Hong Kong,890.0
Cyprus,844.0
Singapore,810.0
Sweden,799.0
New Zealand,763.0
Belgium,756.0
Georgia,646.0
Poland,638.0
Algeria,635.0
Greece,598.0
Thailand,542.0
Czech Republic,496.0
Taiwan,467.0
Finland,428.0
Ireland,401.0
Denmark,375.0
Hungary,374.0
Israel,362.0
Pakistan,358.0
Mexico,353.0
Bangladesh,326.0
Ethiopia,317.0
Nigeria,292.0
United Arab Emirates,255.0
Saudi Arabia,247.0
Chile,223.0
Slovenia,221.0
Costa Rica,213.0
Morocco,198.0
Ghana,176.0
Bosnia and Herzegovina,174.0
Serbia,151.0
Russian Federation,143.0
Argentina,142.0
Nepal,135.0
Senegal,130.0
Lebanon,108.0
Fiji,107.0
South Africa,101.0
Colombia,90.0
Ecuador,84.0
Tunisia,82.0
Kenya,78.0
Oman,74.0
Uganda,73.0
Indonesia,71.0
Jordan,68.0
Cuba,65.0
Qatar,65.0
Luxembourg,64.0
Slovakia,56.0
Philippines,50.0
Estonia,46.0
Zambia,44.0
Uzbekistan,44.0
Croatia,40.0
Honduras,37.0
Uruguay,37.0
Myanmar,34.0
Zimbabwe,33.0
Moldova,32.0
Cambodia,31.0
Armenia,31.0
Tanzania,29.0
Burkina Faso,20.0
Kuwait,20.0
Sudan,18.0
Bahrain,17.0
Cameroon,16.0
Brunei Darussalam,16.0
Democratic Republic Congo,15.0
Benin,12.0
Sri Lanka,12.0
Malta,12.0
Afghanistan,10.0
Lithuania,9.0
Kazakhstan,9.0
Macao,9.0
Latvia,9.0
Laos,9.0
Palestine,8.0
Virgin Islands (U.S.),8.0
Iceland,8.0
Namibia,7.0
Peru,7.0
Bhutan,6.0
Paraguay,5.0
Rwanda,3.0
Ukraine,2.0
Bolivia,2.0
Seychelles,2.0
Puerto Rico,1.0
Libyan Arab Jamahiriya,1.0
Mali,1.0
Cote d'Ivoire,0.0
Kyrgyzstan,0.0
Botswana,0.0
Lesotho,0.0
