affiliation,citations
60027363,4481.0
60025278,3857.0
60010851,3836.0
60019499,3292.0
60029306,3158.0
60031041,3042.0
60073652,2521.0
60019616,2463.0
60032356,2441.0
60017161,2439.0
60019533,2433.0
60003353,2396.0
60021182,2373.0
60023237,2333.0
60020547,2297.0
60004538,2100.0
60025084,2094.0
60010689,1981.0
60006019,1976.0
60005488,1909.0
60029322,1898.0
60012708,1817.0
60031150,1767.0
60033100,1764.0
60022422,1747.0
60004156,1682.0
60025761,1634.0
60013551,1615.0
60028333,1594.0
60004956,1580.0
60023932,1454.0
60031004,1404.0
60027277,1362.0
60002612,1345.0
60017456,1294.0
60123520,1242.0
60118763,1178.0
60002092,1177.0
60087826,1131.0
60022414,1097.0
60006288,1095.0
60022002,1068.0
60014966,1063.0
60029616,1053.0
60026981,1045.0
60021391,1029.0
60022927,1028.0
60025858,1020.0
60031707,1013.0
60018229,1006.0
60013141,1001.0
60006622,997.0
60033316,978.0
60008592,975.0
60111656,963.0
60105683,945.0
60031806,927.0
60017705,905.0
60014439,901.0
60021200,897.0
60272995,888.0
60015150,867.0
60024542,867.0
60000745,863.0
60010080,845.0
60000221,819.0
60001604,814.0
60023380,796.0
60029157,795.0
60007278,786.0
60026610,779.0
60026617,756.0
60016521,753.0
60031248,752.0
60118456,749.0
60023813,748.0
60005429,737.0
60018038,733.0
60020828,722.0
60006541,717.0
60007155,707.0
114949752,703.0
60028378,697.0
60011347,685.0
60117779,679.0
60010065,672.0
60003269,667.0
60030931,666.0
60000937,665.0
60020258,664.0
60008435,663.0
60006782,662.0
60020304,661.0
60015356,655.0
60025804,647.0
60021243,645.0
60019578,642.0
60009512,639.0
60026479,638.0
60064143,636.0
60019647,633.0
60027716,632.0
60021199,627.0
60025152,618.0
60006471,614.0
60007711,605.0
60014171,595.0
60028186,595.0
60020599,593.0
60027090,592.0
60014153,591.0
60108488,587.0
60013682,581.0
60017060,578.0
60027666,576.0
60118022,574.0
60005816,574.0
60072749,573.0
60078563,573.0
60013402,568.0
60013372,567.0
60079129,566.0
60005762,563.0
60105111,562.0
60027884,560.0
60104463,557.0
60028265,556.0
60004923,554.0
60130032,553.0
60002494,551.0
60129235,550.0
60010126,549.0
60004750,547.0
60030101,543.0
60021843,540.0
60030840,533.0
60003977,531.0
60026175,529.0
60032053,528.0
60027152,524.0
60026553,518.0
60025988,517.0
60030835,513.0
60005455,513.0
60007740,509.0
60026914,503.0
60012581,501.0
60022091,500.0
60006222,498.0
60000036,496.0
60003892,495.0
60029445,493.0
60020650,493.0
60117839,492.0
60026851,486.0
60005273,485.0
60138680,483.0
60022281,482.0
60030718,482.0
60103926,479.0
60001619,479.0
60018554,478.0
60030162,477.0
60020321,477.0
60011362,475.0
60031126,473.0
60022134,473.0
60031031,472.0
60004354,472.0
60024724,472.0
60046504,471.0
60026282,467.0
60015481,465.0
60030434,463.0
60073696,463.0
60010348,462.0
60017244,462.0
60000765,461.0
