aff_id,eid,name,country,author_count,doc-count
60031268,10-s2.0-60031268,Daneshgahe Shahid Bahonar-e-Kerman,Iran,3834,14667
60007989,10-s2.0-60007989,Universiteit Utrecht,Netherlands,17385,103116
60022461,10-s2.0-60022461,Technical University of Crete,Greece,1640,9706
60104134,10-s2.0-60104134,Khalifa University of Science and Technology,United Arab Emirates,3159,21236
60025063,10-s2.0-60025063,KU Leuven,Belgium,26413,172551
60018394,10-s2.0-60018394,South Dakota School of Mines & Technology,United States,1243,5916
60030447,10-s2.0-60030447,INTERA Incorporated,United States,84,197
60007566,10-s2.0-60007566,Louisiana State University,United States,11963,72351
60010065,10-s2.0-60010065,The University of Arizona,United States,29591,200254
60030101,10-s2.0-60030101,University of Regina,Canada,3200,18814
60030856,10-s2.0-60030856,Desert Research Institute Las Vegas,United States,95,1000
60032781,10-s2.0-60032781,Lyles School of Civil Engineering,United States,815,6360
60033100,10-s2.0-60033100,Nanjing University,China,38267,129333
60013756,10-s2.0-60013756,University of Warsaw,Poland,9965,60768
60025084,10-s2.0-60025084,Shanghai Jiao Tong University,China,64027,244406
60010689,10-s2.0-60010689,Research Center for Eco-Environmental Sciences Chinese Academy of Sciences,China,4787,22601
60028186,10-s2.0-60028186,Ecole Polytechnique Fédérale de Lausanne,Switzerland,16128,98426
60020828,10-s2.0-60020828,Flinders University,Australia,6630,42768
60010851,10-s2.0-60010851,Hohai University,China,19513,58470
60187486,10-s2.0-60187486,National Centre for Groundwater Research and Training,Australia,13,174
60000745,10-s2.0-60000745,University of Illinois Urbana-Champaign,United States,47786,295730
60003029,10-s2.0-60003029,ORNL Environmental Sciences Division,United States,563,5204
60110549,10-s2.0-60110549,Prairie Research Institute,United States,23,114
60032259,10-s2.0-60032259,Università degli Studi di Cagliari,Italy,7888,44869
129854979,10-s2.0-129854979,Canada Research Chair in Computational Hydrosystems,Canada,1,1
60019141,10-s2.0-60019141,Polytechnique Montréal,Canada,6150,29238
60003892,10-s2.0-60003892,Arizona State University,United States,20590,125668
60032179,10-s2.0-60032179,University of Wisconsin-Madison,United States,45742,289429
60002306,10-s2.0-60002306,University of Calgary,Canada,22341,143769
60015300,10-s2.0-60015300,Università degli Studi di Brescia,Italy,5019,36814
60004969,10-s2.0-60004969,Università di Parma,Italy,9047,56278
60027363,10-s2.0-60027363,University of Chinese Academy of Sciences,China,79023,296208
60272995,10-s2.0-60272995,Northwest Institute of Eco-Environment and Resources,China,1659,6620
60013959,10-s2.0-60013959,University of Florida,United States,43123,264781
60011373,10-s2.0-60011373,Technical University of Denmark,Denmark,17143,108036
60032086,10-s2.0-60032086,M2C - Coastal and Continental Morphodynamics Laboratory,France,110,191
60117896,10-s2.0-60117896,"Technische Universität München, Campus Straubing für Biotechnologie und Nachhaltigkeit",Germany,128,386
60026002,10-s2.0-60026002,Hochschule Weihenstephan-Triesdorf,Germany,348,869
60018229,10-s2.0-60018229,Helmholtz Zentrum für Umweltforschung,Germany,2407,11109
60028039,10-s2.0-60028039,Sant'Anna Scuola Universitaria Superiore Pisa,Italy,1701,12658
60024666,10-s2.0-60024666,National Central University,Taiwan,13540,49278
60005429,10-s2.0-60005429,National Taiwan University,Taiwan,36980,153079
60020547,10-s2.0-60020547,Texas A&M University,United States,35555,194087
60008827,10-s2.0-60008827,University of Wyoming,United States,6742,36202
60007751,10-s2.0-60007751,Amirkabir University of Technology,Iran,9969,44893
60009512,10-s2.0-60009512,The University of Adelaide,Australia,14120,108427
60007278,10-s2.0-60007278,"University of California, Irvine",United States,24634,159784
60023380,10-s2.0-60023380,Chongqing University,China,39697,110294
60014652,10-s2.0-60014652,Hokkaido University,Japan,31672,150269
60009463,10-s2.0-60009463,Civil Engineering Research Institute for Cold Region,Japan,160,385
60027090,10-s2.0-60027090,Virginia Polytechnic Institute and State University,United States,24595,132917
60012708,10-s2.0-60012708,Stanford University,United States,39871,285210
