id,eid,name,cited-by,citations
58307014400,9-s2.0-58307014400,Rasoul Soufi Noughabi,0,0
36008901600,9-s2.0-36008901600,Seyed Hossein Mansouri,743,903
26635952600,9-s2.0-26635952600,Amir Raoof,1131,1475
53984251100,9-s2.0-53984251100,Vasileios E. Katzourakis,211,325
35610240400,9-s2.0-35610240400,Constantinos V. Chrysikopoulos,2374,4814
25822520800,9-s2.0-25822520800,Hans Janssen,1719,2318
57210424267,9-s2.0-57210424267,Fleford S. Redoloza,36,36
36160282300,9-s2.0-36160282300,Liangping Li,957,1452
7404296426,9-s2.0-7404296426,Arden D. Davis,251,281
56708113100,9-s2.0-56708113100,Hai V. Pham,135,156
7202660185,9-s2.0-7202660185,Frank Tsung Chen Tsai,1753,2293
57886962200,9-s2.0-57886962200,Abram J. Farley,0,0
36559092800,9-s2.0-36559092800,Laura E. Condon,1372,1803
57200314177,9-s2.0-57200314177,Payam Sarkhosh,11,17
7404458474,9-s2.0-7404458474,Yeechung Jin,1483,1982
58264479500,9-s2.0-58264479500,Abhinav Gupta,39,41
7006929576,9-s2.0-7006929576,Rao S. Govindaraju,5848,7794
58369384900,9-s2.0-58369384900,Pinching Li,0,0
8519969000,9-s2.0-8519969000,Venkatesh M. Merwade,3018,3794
56576941600,9-s2.0-56576941600,Rui Wu,543,693
57697964000,9-s2.0-57697964000,Xiaoxing Li,0,0
8254874000,9-s2.0-8254874000,Yuanyuan Sun,3050,3548
6701733061,9-s2.0-6701733061,Piotr Szymczak,1371,2157
24366447600,9-s2.0-24366447600,Wentao Jiao,3859,4332
56416908800,9-s2.0-56416908800,Zhaoyang Luo,83,126
57201572241,9-s2.0-57201572241,Jun Kong,605,800
7202480447,9-s2.0-7202480447,D. A. Barry,8601,12427
57200726374,9-s2.0-57200726374,Chien Yung Tseng,23,26
58336345900,9-s2.0-58336345900,Maryam Ghadiri,0,0
57192699674,9-s2.0-57192699674,Praveen Kumar,5481,7096
55818639600,9-s2.0-55818639600,Hadi Meidani,551,633
58355884500,9-s2.0-58355884500,Claudia Deiana,0,0
6603318220,9-s2.0-6603318220,Roberto Deidda,1293,1831
36238598900,9-s2.0-36238598900,Francesco Viola,1248,1515
57212413059,9-s2.0-57212413059,M. Jandaghian,57,78
36467187500,9-s2.0-36467187500,Ahmad Shakibaeinia,719,1071
25226581600,9-s2.0-25226581600,Giuseppe Mascaro,1350,1666
13403908800,9-s2.0-13403908800,Simon Michael Papalexiou,1894,2548
46361855100,9-s2.0-46361855100,Daniel B. Wright,734,1042
24478928900,9-s2.0-24478928900,Andrea Maranzoni,495,621
6701589806,9-s2.0-6701589806,Massimo Tomirotti,373,416
57193910044,9-s2.0-57193910044,Zhipeng Li,62,71
56022575700,9-s2.0-56022575700,Saiyu Yuan,382,565
8709032000,9-s2.0-8709032000,Hongwu Tang,1552,2088
58234758100,9-s2.0-55571369300,Yantao Zhu,141,160
8634148600,9-s2.0-8634148600,Hongguang Sun,3807,5153
56203408700,9-s2.0-56203408700,Jing Zhang,91,107
7401512028,9-s2.0-7401512028,Yuanming Lai,3958,7994
7409243891,9-s2.0-7409243891,Shuangyang Li,1401,2043
55704458600,9-s2.0-55704458600,Mingyi Zhang,1984,3856
55332306700,9-s2.0-55332306700,Zheming Min You,217,241
57416769400,9-s2.0-57416769400,Te Liang,3,3
57194388514,9-s2.0-57194388514,Luming Shi,73,87
56605098300,9-s2.0-56605098300,Collin Ortals,70,85
7003329191,9-s2.0-7003329191,Arnoldo Valle-Levinson,2857,4631
23012460300,9-s2.0-23012460300,Maitane Olabarrieta,1380,1760
57795602100,9-s2.0-57795602100,Carlos A.S. Ferreira,0,0
24773550400,9-s2.0-24773550400,Hamidreza M. M Nick,1584,2526
57211081797,9-s2.0-57211081797,Minh Tan Vu,79,91
15725750100,9-s2.0-15725750100,Abderrahim Jardani,1271,2256
58037098400,9-s2.0-58037098400,Maria Chiara Lippera,1,1
24067856300,9-s2.0-24067856300,Ulrike Werban,1023,1204
55205882400,9-s2.0-55205882400,Rudy Rossetto,515,680
36624667900,9-s2.0-36624667900,Thomas Vienken,484,561
57214660380,9-s2.0-57214660380,Qunzhan Huang,14,14
58293974300,9-s2.0-58293974300,Jyun Cong Huang,0,0
24074907500,9-s2.0-24074907500,Chiawen Tsao,1684,1922
39261555400,9-s2.0-39261555400,Shao Yiu Hsu,302,332
56498683300,9-s2.0-56498683300,Chao Zhuang,191,248
58285512000,9-s2.0-58285512000,Hongbin Zhan,0,0
57872089000,9-s2.0-57872089000,Xiangdong Xu,0,0
56055181900,9-s2.0-56055181900,Jinguo Wang,550,697
10141428600,9-s2.0-10141428600,Zhifang Zhou,1021,1392
55081290900,9-s2.0-55081290900,Zhi Dou,418,577
57203507111,9-s2.0-57203507111,Aktham E. Shoukry,16,20
38862823300,9-s2.0-38862823300,Soheil Saraji,1068,1249
6507744928,9-s2.0-6507744928,Mohammad Piri,3481,5155
58235576800,9-s2.0-58235576800,Saeed Telvari,0,0
58236260700,9-s2.0-58236260700,Mohammad Sayyafzadeh,0,0
57272419000,9-s2.0-57272419000,Javad Siavashi,21,25
57216077018,9-s2.0-57216077018,Mohammad Sharifi,1163,1424
57223395720,9-s2.0-57223395720,Ailing Jiang,4,4
58242200900,9-s2.0-7401526171,Kuolin Hsu,8067,13248
7202204726,9-s2.0-7202204726,Brett F. Sanders,4443,6202
7005052907,9-s2.0-7005052907,Soroosh Sorooshian,21562,35953
57220003815,9-s2.0-57220003815,Cuauhtémoc Tonatiuh Vidrio-Sahagún,13,17
55839333400,9-s2.0-55839333400,Jianxun He,831,930
7003843849,9-s2.0-7003843849,Alain C. Pietroniro,2791,3976
57444543900,9-s2.0-57444543900,Yakun Wang,54,61
56368412900,9-s2.0-56368412900,Zhenyu Zhang,1062,1249
57192262258,9-s2.0-57192262258,Xiaoqian Liu,53,53
57222758840,9-s2.0-57222758840,Kangsheng Xue,26,39
58168796800,9-s2.0-58168796800,Dai Huang,0,0
55438080300,9-s2.0-55438080300,Toshiki Iwasaki,303,357
58168796900,9-s2.0-57211768680,Takashi Yamada,1586,1786
58169163400,9-s2.0-58169163400,Yuki Hiramatsu,0,0
21735269200,9-s2.0-21735269200,Satomi Yamaguchi,134,143
7404067594,9-s2.0-7404067594,Yasuyuki Shimizu,1346,2031
57211414527,9-s2.0-57211414527,Catherine Spurin,85,113
37025484700,9-s2.0-37025484700,Ryan T. Armstrong,2511,4641
15822580700,9-s2.0-15822580700,James E. McClure,863,1405
58172108500,9-s2.0-26636265100,Steffen Ten Berg,3668,6363
7201402379,9-s2.0-7201402379,Neville I. Robinson,778,836
57225972976,9-s2.0-57225972976,Max P. Cooper,3,3
57209692205,9-s2.0-57209692205,Rishabh P. Sharma,0,0
57215213843,9-s2.0-57215213843,Silvana Magni,17,17
6603460179,9-s2.0-6603460179,T. P. Blach,2265,2903
7003866512,9-s2.0-7003866512,Andrzej P. Radlínski,3233,4520
57320288900,9-s2.0-57320288900,Katarzyna Drabik,16,16
55803970000,9-s2.0-55803970000,Alessandro Tengattini,506,725
24597017800,9-s2.0-24597017800,Oscar Castro-Orgaz,634,1057
56958438700,9-s2.0-56958438700,Francisco Nicolás Cantero-Chinchilla,122,169
7003619622,9-s2.0-7003619622,Juan V. Giraldez,3461,4068
7202227832,9-s2.0-7202227832,Willi H. Hager,4962,8754
36716278000,9-s2.0-36716278000,Seokkoo Kang,1193,1785
57202267793,9-s2.0-57202267793,Jiyong Lee,73,77
57211893846,9-s2.0-57211893846,Youngkyu Kim,18,18
24178824700,9-s2.0-24178824700,Ali Khosronejad,737,1282
57204599591,9-s2.0-57204599591,Takeshi Kurotori,64,78
57194611415,9-s2.0-57194611415,Manju Pharkavi Murugesu,39,40
36697382600,9-s2.0-36697382600,Christopher Zahasky,175,216
24069534300,9-s2.0-24069534300,Bolivia Vega,291,354
23986994300,9-s2.0-23986994300,Jennifer L. Druhan,1219,1508
57966058200,9-s2.0-7202651999,Sally M. Benson,6851,9795
7005383765,9-s2.0-7005383765,Anthony Robert Kovscek,6751,10503
35998676200,9-s2.0-35998676200,Ken Eng,371,429
6701763216,9-s2.0-6701763216,David M. Wolock,4000,4761
55184572800,9-s2.0-55184572800,Michael E. Wieczorek,291,292
6604040986,9-s2.0-6604040986,Stephan K. MatthÃ¤i,2959,4249
57212024492,9-s2.0-57212024492,Luat Khoa Tran,9,10
57916543700,9-s2.0-57916543700,Shujie Tu,1,1
57916733200,9-s2.0-57916733200,Xiaoming Liu,1,1
57916354900,9-s2.0-57916354900,Hongjiang Cai,1,1
58142038400,9-s2.0-58142038400,Zexi Yang,0,0
57218995417,9-s2.0-57218995417,Minki Hong,23,24
7103237168,9-s2.0-7103237168,Binayak Prasad Mohanty,4815,6576
57205212578,9-s2.0-57205212578,Huhao Gao,16,27
54388359000,9-s2.0-54388359000,Alexandru Bogdan Tatomir,615,765
54391355500,9-s2.0-54391355500,Nikolaos K. Karadimitriou,709,1035
6603128766,9-s2.0-6603128766,Holger Steeb,1587,2060
7006091071,9-s2.0-7006091071,Martin Sauter,3145,4569
57212377681,9-s2.0-57212377681,Zhipeng Xu,18,20
7404816897,9-s2.0-7404816897,Mian Lin,584,708
57195836655,9-s2.0-57195836655,Lili Ji,144,173
57145465300,9-s2.0-57145465300,Wenbin Jiang,312,400
57194393044,9-s2.0-57194393044,Gaohui Cao,161,189
56348779600,9-s2.0-56348779600,Leige Xu,103,136
26432933600,9-s2.0-26432933600,Mohammad Mahdi Sedghi,81,148
57846394600,9-s2.0-57846394600,Hongbin Bin Zhan,3658,5753
57201797935,9-s2.0-57201797935,Riccardo Sprocati,131,211
57196419412,9-s2.0-57196419412,Andrea Gallo,81,85
57755352900,9-s2.0-57755352900,Marie Boeskov Caspersen,1,1
25923519800,9-s2.0-25923519800,Massimo Rolle,1289,3084
6506548477,9-s2.0-6506548477,Laurent Talon,617,911
58164012600,9-s2.0-58164012600,Emma Ollivier-Triquet,0,0
6603638958,9-s2.0-6603638958,Marco Dentz,3384,7784
7202231359,9-s2.0-7202231359,Daniela Bauer,389,453
56256597400,9-s2.0-56256597400,Francesco Marra,1120,1799
56968147600,9-s2.0-56968147600,William Amponsah,285,371
57209204907,9-s2.0-57209204907,Yingzhi Qian,75,78
57201009531,9-s2.0-57201009531,Yan Zhu,949,1100
55715457700,9-s2.0-55715457700,Xiaoping Zhang,663,758
56093744600,9-s2.0-56093744600,Jiming Wu,250,559
57798890900,9-s2.0-35226809800,Ming Ye,3578,4780
55633508800,9-s2.0-55633508800,Wei Mao,178,227
9337610700,9-s2.0-9337610700,Jingwei Wu,1044,1390
57216482546,9-s2.0-57216482546,Jiesheng Huang,25,25
9237931000,9-s2.0-9237931000,Jinzhong Yang,1949,2392
57773429900,9-s2.0-57773429900,Suaiba Mufti,4,5
57200103270,9-s2.0-57200103270,Arghya Das,365,534
7004121216,9-s2.0-7004121216,Anvar R. Kacimov,1063,1958
35611573400,9-s2.0-35611573400,Yu. V. Obnosov,392,717
7005647472,9-s2.0-7005647472,Dustin M. Crandall,1217,1530
57203595710,9-s2.0-57203595710,Cheng Chen,1071,1443
35430542800,9-s2.0-35430542800,Young-jin Park,631,806
55458950300,9-s2.0-55458950300,Hyoun Tae Hwang,346,454
15720724100,9-s2.0-15720724100,Takuma Hasegawa,135,175
58120508200,9-s2.0-58120508200,Shunichi Okamoto,0,0
57191984493,9-s2.0-57191984493,Takenori Ozutsumi,2,2
7406729982,9-s2.0-7406729982,Tatsuya Tanaka,3019,3550
57217245654,9-s2.0-57217245654,Yutaka Morita,10,10
6603723163,9-s2.0-6603723163,Walter A. Illman,1000,2779
57204776172,9-s2.0-57204776172,Dustin Knabe,23,25
55789092200,9-s2.0-55789092200,Dipankar Dwivedi,757,985
58096681000,9-s2.0-57210159048,He Wang,50,51
6603007488,9-s2.0-6603007488,Christian Griebler,3162,5094
36990196700,9-s2.0-36990196700,Irina Engelhardt,437,482
57224985555,9-s2.0-57224985555,Rui Wang,15,16
57194198007,9-s2.0-57194198007,Maziar Arshadi,205,235
56893020100,9-s2.0-56893020100,Haoran Shi,103,126
57196084859,9-s2.0-57196084859,Jiao Zhang,181,236
7003771158,9-s2.0-7003771158,Wenxin Huai,1935,3308
57218544316,9-s2.0-57218544316,Ruijue Zhao,12,14
58102190100,9-s2.0-58102190100,Qingrong Xiong,0,0
55347646200,9-s2.0-55347646200,Zaibin Liu,143,164
56808392000,9-s2.0-56808392000,Shiliang Liu,607,827
57471870200,9-s2.0-57211458527,Xinmin Ma,188,193
56152586200,9-s2.0-56152586200,Deqiang Mao,737,1178
55920263100,9-s2.0-55920263100,Abdelaziz Beljadid,146,184
57287289400,9-s2.0-57287289400,Amine Hanini,3,3
57219588502,9-s2.0-57219588502,Lea Friedli,6,7
16646150300,9-s2.0-16646150300,Niklas Linde,2578,4535
25627742700,9-s2.0-25627742700,David Ginsbourger,1379,1892
58111127100,9-s2.0-58111127100,Alejandro Fernandez Visentini,1,1
7101901945,9-s2.0-7101901945,Arnaud Doucet,14318,19066
55200429000,9-s2.0-55200429000,Maoya Bassiouni,132,138
58008379700,9-s2.0-57199505108,Stefano Manzoni,8250,10608
15726654400,9-s2.0-15726654400,Giulia Vico,2329,2739
56900876700,9-s2.0-56900876700,Pascal Benard,247,390
57210553328,9-s2.0-57210553328,Samuel Bickel,101,105
16021746200,9-s2.0-16021746200,Anders P. Kaestner,2783,3937
57214137074,9-s2.0-57214137074,Peter Lehmann,2792,4028
14624807000,9-s2.0-14624807000,Andrea Carminati,1975,3942
7006527930,9-s2.0-7006527930,V. R. Voller,8178,11965
7004229921,9-s2.0-7004229921,Fábio D.A. Aarão Reis,915,1597
23478939900,9-s2.0-23478939900,Pei Xin,1432,2317
56984796200,9-s2.0-56984796200,Xiayang Yu,222,289
56256275500,9-s2.0-56256275500,Lucheng Zhan,178,204
56256350700,9-s2.0-56256350700,Haifeng Cheng,34,39
55609189800,9-s2.0-55609189800,Didi Li,344,399
57221938104,9-s2.0-57221938104,Yuhui Zhong,5,5
36188106300,9-s2.0-36188106300,Xi Jiang,2260,2886
57201700421,9-s2.0-57201700421,Abdulla Ahmad Alhosani,143,221
57219531317,9-s2.0-57219531317,Ahmed M. Selem,57,67
55796646400,9-s2.0-55796646400,Sajjad Foroughi,114,132
6602886182,9-s2.0-6602886182,Branko R. Bijeljic,4818,9670
7005204147,9-s2.0-7005204147,Martin J. Blunt,15581,30782
57222571832,9-s2.0-57222571832,Samaneh Vahid Dastjerdi,16,20
7003438301,9-s2.0-7003438301,S. Majid Hassanizadeh,6217,11300
57219421549,9-s2.0-57219421549,Pit Arnold,33,36
58073446100,9-s2.0-58073446100,Mario Dragovits,0,0
57219414756,9-s2.0-56194089900,Sven Linden,94,97
57209311990,9-s2.0-57209311990,Christian Hinz,54,55
24339061500,9-s2.0-24339061500,Holger Ott,2864,3705
57221612826,9-s2.0-57221612826,Ranit Monga,1,1
57209044105,9-s2.0-57209044105,Rajdeep Deb,68,84
55432042500,9-s2.0-55432042500,Daniel W. Meyer,386,566
7003429086,9-s2.0-7003429086,Patrick D. Jenny,3184,5348
58075186700,9-s2.0-58075186700,Mohammad Aghababaei,146,153
7004094578,9-s2.0-7004094578,Timothy R. Ginn,3890,5143
56719959500,9-s2.0-56719959500,Fuyong Wang,829,1123
57218532760,9-s2.0-57218532760,Yun Zai,33,33
57193521588,9-s2.0-57193521588,Jiayi Ng,125,137
54580814100,9-s2.0-54580814100,Samira Fazlollahi,609,735
56189583300,9-s2.0-56189583300,Magali Dechesne,254,290
