,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0
11,19,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,62,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0
24,31,0,0,0,0,0,0,42,0,0,2,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,1
25,1,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,62,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
42,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,1,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,78,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0
66,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
