,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
0,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001094,10.1016/j.advwatres.2023.104474,2023-08-01,S0309170823001094,2-s2.0-85161258968,85161258968.0,0.0,"58307014400, 36008901600, 26635952600",60031268:60031268:60007989,True
1,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001100,10.1016/j.advwatres.2023.104475,2023-08-01,S0309170823001100,2-s2.0-85161636300,85161636300.0,0.0,"53984251100, 35610240400","60104134:60104134, 60022461",True
3,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001124,10.1016/j.advwatres.2023.104477,2023-08-01,S0309170823001124,2-s2.0-85161661769,85161661769.0,0.0,"57210424267, 36160282300, 7404296426",60018394:60018394:60018394,True
4,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001203,10.1016/j.advwatres.2023.104485,2023-08-01,S0309170823001203,2-s2.0-85161678744,85161678744.0,0.0,"56708113100, 7202660185",60030447:60007566,True
5,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000763,10.1016/j.advwatres.2023.104441,2023-08-01,S0309170823000763,2-s2.0-85161836812,85161836812.0,0.0,"57886962200, 36559092800",60010065:60010065,True
6,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001227,10.1016/j.advwatres.2023.104487,2023-08-01,S0309170823001227,2-s2.0-85161979557,85161979557.0,0.0,"57200314177, 7404458474",60030101:60030101,True
7,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001215,10.1016/j.advwatres.2023.104486,2023-08-01,S0309170823001215,2-s2.0-85163143487,85163143487.0,0.0,"58264479500, 7006929576, 58369384900, 8519969000",60030856:60032781:60032781:60032781,True
11,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001288,10.1016/j.advwatres.2023.104493,2023-08-01,S0309170823001288,2-s2.0-85163003446,85163003446.0,0.0,"58355884500, 6603318220, 36238598900",60032259:60032259:60032259,True
12,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001239,10.1016/j.advwatres.2023.104488,2023-08-01,S0309170823001239,2-s2.0-85162794095,85162794095.0,0.0,"57212413059, 36467187500","60019141:60019141, 129854979",True
13,1,1,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000866,10.1016/j.advwatres.2023.104451,2023-07-01,S0309170823000866,2-s2.0-85159558881,85159558881.0,0.0,"25226581600, 13403908800, 46361855100",60003892:60002306:60032179,True
19,1,1,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000982,10.1016/j.advwatres.2023.104463,2023-07-01,S0309170823000982,2-s2.0-85160420259,85160420259.0,0.0,"57211081797, 15725750100",60032086:60032086,True
24,1,2,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000775,10.1016/j.advwatres.2023.104442,2023-06-01,S0309170823000775,2-s2.0-85157994627,85157994627.0,0.0,"58235576800, 58236260700, 57272419000, 57216077018",60007751:60009512:60007751:60007751,True
25,1,2,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000842,10.1016/j.advwatres.2023.104449,2023-06-01,S0309170823000842,2-s2.0-85158898359,85158898359.0,0.0,"57223395720, 58242200900, 7202204726, 7005052907","60007278:60007278:60007278, 60007278:60007278, 60007278",True
26,1,2,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000957,10.1016/j.advwatres.2023.104460,2023-06-01,S0309170823000957,2-s2.0-85159095946,85159095946.0,0.0,"57220003815, 55839333400, 7003843849",60002306:60002306:60002306,True
28,1,3,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000623,10.1016/j.advwatres.2023.104427,2023-05-01,S0309170823000623,2-s2.0-85151498345,85151498345.0,0.0,"58168796800, 55438080300, 58168796900, 58169163400, 21735269200, 7404067594",60014652:60014652:60009463:60009463:60009463:60014652,True
32,1,3,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000441,10.1016/j.advwatres.2023.104409,2023-05-01,S0309170823000441,2-s2.0-85151786884,85151786884.0,0.0,"24597017800, 56958438700, 7003619622, 7202227832",60003138:60003138:60003138:60025858,True
34,1,3,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000647,10.1016/j.advwatres.2023.104429,2023-05-01,S0309170823000647,2-s2.0-85151791948,85151791948.0,1.0,"57204599591, 57194611415, 36697382600, 24069534300, 23986994300, 57966058200, 7005383765",60012708:60012708:60032179:60012708:60000745:60012708:60012708,True
35,1,3,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000751,10.1016/j.advwatres.2023.104440,2023-05-01,S0309170823000751,2-s2.0-85153501856,85153501856.0,0.0,"35998676200, 6701763216, 55184572800",60011347:60011347:60011347,True
37,1,4,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000544,10.1016/j.advwatres.2023.104419,2023-04-01,S0309170823000544,2-s2.0-85150049041,85150049041.0,0.0,"57916543700, 57916733200, 57916354900, 58142038400",60032356:60032356:60032356:60032356,True
38,1,4,2023,https://www.sciencedirect.com/science/article/pii/S030917082300043X,10.1016/j.advwatres.2023.104408,2023-04-01,S030917082300043X,2-s2.0-85150308669,85150308669.0,0.0,"57218995417, 7103237168","60020547, 60003269:60020547",True
39,1,4,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000593,10.1016/j.advwatres.2023.104424,2023-04-01,S0309170823000593,2-s2.0-85151028496,85151028496.0,1.0,"57205212578, 54388359000, 54391355500, 6603128766, 7006091071","60031514:60031514, 116578798:60015815:60015815, 60015815:60031514",True
