country,percent_pubs
China,"0    0.307964
1    0.366098
2    0.385101
3    0.419297
4    0.458484
5    0.500476
Name: China, dtype: float64"
United States,"0    0.261240
1    0.224146
2    0.217790
3    0.192073
4    0.187513
5    0.176452
Name: United States, dtype: float64"
Australia,"0    0.079048
1    0.061951
2    0.061062
3    0.067073
4    0.065407
5    0.054903
Name: Australia, dtype: float64"
Canada,"0    0.057596
1    0.049756
2    0.049257
3    0.057209
4    0.056488
5    0.051730
Name: Canada, dtype: float64"
India,"0    0.049368
1    0.051220
2    0.060045
3    0.052547
4    0.051179
5    0.053316
Name: India, dtype: float64"
Germany,"0    0.055539
1    0.047073
2    0.040098
3    0.041786
4    0.046082
5    0.036496
Name: Germany, dtype: float64"
United Kingdom,"0    0.047605
1    0.042683
2    0.036434
3    0.038558
4    0.042684
5    0.043796
Name: United Kingdom, dtype: float64"
Iran,"0    0.027035
1    0.044878
2    0.044576
3    0.039096
4    0.035889
5    0.025071
Name: Iran, dtype: float64"
France,"0    0.039377
1    0.036585
2    0.039284
3    0.030667
4    0.032279
5    0.036179
Name: France, dtype: float64"
Italy,"0    0.047311
1    0.036341
2    0.032974
3    0.035151
4    0.030155
5    0.032053
Name: Italy, dtype: float64"
Spain,"0    0.036145
1    0.033902
2    0.030328
3    0.030308
4    0.039286
5    0.035862
Name: Spain, dtype: float64"
Netherlands,"0    0.037614
1    0.038293
2    0.033177
3    0.031205
4    0.033765
5    0.031419
Name: Netherlands, dtype: float64"
South Korea,"0    0.029386
1    0.030000
2    0.033788
3    0.035868
4    0.026970
5    0.029197
Name: South Korea, dtype: float64"
Brazil,"0    0.025272
1    0.029024
2    0.022390
3    0.024570
4    0.022722
5    0.017137
Name: Brazil, dtype: float64"
Japan,"0    0.024390
1    0.024390
2    0.024629
3    0.021700
4    0.022298
5    0.020946
Name: Japan, dtype: float64"
Switzerland,"0    0.021158
1    0.014878
2    0.014451
3    0.017575
4    0.016989
5    0.016503
Name: Switzerland, dtype: float64"
Sweden,"0    0.019101
1    0.013171
2    0.012823
3    0.016858
4    0.015715
5    0.017455
Name: Sweden, dtype: float64"
Norway,"0    0.016750
1    0.016098
2    0.013637
3    0.018113
4    0.010830
5    0.008569
Name: Norway, dtype: float64"
Hong Kong,"0    0.010579
1    0.013659
2    0.012212
3    0.012195
4    0.014440
5    0.018724
Name: Hong Kong, dtype: float64"
Turkey,"0    0.012930
1    0.016829
2    0.013027
3    0.015423
4    0.008707
5    0.011425
Name: Turkey, dtype: float64"
Denmark,"0    0.011460
1    0.011463
2    0.007735
3    0.013630
4    0.016352
5    0.015868
Name: Denmark, dtype: float64"
Portugal,"0    0.012048
1    0.013415
2    0.015876
3    0.014527
4    0.008070
5    0.007934
Name: Portugal, dtype: float64"
Belgium,"0    0.012342
1    0.012683
2    0.012212
3    0.013092
4    0.010406
5    0.010790
Name: Belgium, dtype: float64"
Singapore,"0    0.014987
1    0.016829
2    0.013027
3    0.009326
4    0.007857
5    0.008251
Name: Singapore, dtype: float64"
Taiwan,"0    0.013517
1    0.012195
2    0.009770
3    0.012016
4    0.010618
5    0.011425
Name: Taiwan, dtype: float64"
Poland,"0    0.009110
1    0.010000
2    0.012823
3    0.012195
4    0.010406
5    0.009838
Name: Poland, dtype: float64"
South Africa,"0    0.009697
1    0.011220
2    0.009974
3    0.010581
4    0.011467
5    0.006665
Name: South Africa, dtype: float64"
Malaysia,"0    0.006759
1    0.007317
2    0.013230
3    0.011657
4    0.008919
5    0.008886
Name: Malaysia, dtype: float64"
Egypt,"0    0.008228
1    0.008049
2    0.008549
3    0.010760
4    0.008707
5    0.010790
Name: Egypt, dtype: float64"
New Zealand,"0    0.012048
1    0.009756
2    0.009974
3    0.006994
4    0.007645
5    0.008251
Name: New Zealand, dtype: float64"
Austria,"0    0.008816
1    0.007805
2    0.005699
3    0.007532
4    0.012317
5    0.009203
Name: Austria, dtype: float64"
Saudi Arabia,"0    0.005583
1    0.003902
2    0.006106
3    0.009326
4    0.010830
5    0.012694
Name: Saudi Arabia, dtype: float64"
Israel,"0    0.008228
1    0.009268
2    0.008956
3    0.005560
4    0.007645
5    0.005712
Name: Israel, dtype: float64"
Pakistan,"0    0.003526
1    0.005854
2    0.007124
3    0.008250
4    0.011255
5    0.008886
Name: Pakistan, dtype: float64"
Viet Nam,"0    0.005877
1    0.006585
2    0.011195
3    0.008250
4    0.006158
5    0.003491
Name: Viet Nam, dtype: float64"
Mexico,"0    0.005289
1    0.005610
2    0.008956
3    0.005918
4    0.005521
5    0.007617
Name: Mexico, dtype: float64"
Greece,"0    0.007053
1    0.007805
2    0.006717
3    0.005201
4    0.003610
5    0.005078
Name: Greece, dtype: float64"
Finland,"0    0.006171
1    0.007805
2    0.005292
3    0.006636
4    0.004884
5    0.003808
Name: Finland, dtype: float64"
Bangladesh,"0    0.003232
1    0.005610
2    0.006920
3    0.004125
4    0.006371
5    0.006982
Name: Bangladesh, dtype: float64"
United Arab Emirates,"0    0.002351
1    0.004390
2    0.006310
3    0.005560
4    0.006158
5    0.007299
Name: United Arab Emirates, dtype: float64"
Ethiopia,"0    0.004996
1    0.004390
2    0.004071
3    0.005739
4    0.005309
5    0.005395
Name: Ethiopia, dtype: float64"
Russian Federation,"0    0.002645
1    0.005610
2    0.007327
3    0.003049
4    0.004884
5    0.005395
Name: Russian Federation, dtype: float64"
Czech Republic,"0    0.003820
1    0.005122
2    0.003053
3    0.004663
4    0.004672
5    0.004760
Name: Czech Republic, dtype: float64"
Thailand,"0    0.003232
1    0.003659
2    0.003257
3    0.004842
4    0.004247
5    0.005395
Name: Thailand, dtype: float64"
