journal,authors,buzz_id,date,name,doi,pii
Agricultural Water Management,"['Yu Han', 'Zhongxue Zhang', 'Sicheng Du']",0,2023-07-07,Straw return alleviates the greenhouse effect of paddy fields by increasing soil organic carbon sequestration under water-saving irrigation,10.1016/j.agwat.2023.108434,S0378377423002998
Agricultural Water Management,"['Xiaoke Fu', 'Xiao Wu', 'Yaqi Wang']",0,2023-07-07,"Effects of fertigation with carboxymethyl cellulose potassium on water conservation, salt suppression, and maize growth in salt-affected soil",10.1016/j.agwat.2023.108436,S0378377423003013
Agricultural Water Management,"['Minghan Cheng', 'Chengming Sun', 'Xiuliang Jin']",0,2023-07-07,Evaluation of UAV-based drought indices for crop water conditions monitoring: A case study of summer maize,10.1016/j.agwat.2023.108442,S0378377423003074
Agricultural Water Management,"['Toshisuke Maruyama', 'Sanshiro Fujii', 'Hiroshi Takimoto']",0,2023-07-06,Comparison of estimated and observed evapotranspiration from farmland using inverse analysis and FLUXNET2015,10.1016/j.agwat.2023.108414,S0378377423002792
Agricultural Water Management,"['Jorge Alvar-Beltrán', 'Coulibaly Saturnin', 'Anna Dalla Marta']",0,2023-07-06,Using AquaCrop as a decision-support tool for improved irrigation management in the Sahel region,10.1016/j.agwat.2023.108430,S0378377423002950
Agricultural Water Management,"['Tao Yin', 'Zhipeng Yao', 'Wenqing He']",0,2023-07-03,Maize yield reduction is more strongly related to soil moisture fluctuation than soil temperature change under biodegradable film vs plastic film mulching in a semi-arid region of northern China,10.1016/j.agwat.2023.108351,S0378377423002160
Agricultural Water Management,"['Ruiyun Zeng', 'Xiaomao Lin', 'Fengmei Yao']",0,2023-07-03,Impact of water deficit and irrigation management on winter wheat yield in China,10.1016/j.agwat.2023.108431,S0378377423002962
Agricultural Water Management,"['Qi Wu', 'Fuzheng Gong', 'Daocai Chi']",0,2023-06-30,Maintaining rice grain yield under two irrigation regimes while reducing water-nitrogen input using acidified nitrogen-loaded biochar,10.1016/j.agwat.2023.108432,S0378377423002974
Agricultural Water Management,"['Michael Cahn', 'Richard Smith', 'Forrest Melton']",0,2023-06-29,Field evaluations of the CropManage decision support tool for improving irrigation and nutrient use of cool season vegetables in California,10.1016/j.agwat.2023.108401,S0378377423002664
Agricultural Water Management,"['Jianjun Wang', 'Chuantao Wang', 'Bingcheng Si']",0,2023-06-28,Rock water use by apple trees affected by physical properties of the underlying weathered rock,10.1016/j.agwat.2023.108413,S0378377423002780
Agricultural Water Management,"['Jamal Elfarkh', 'Kasper Johansen', 'Matthew F. McCabe']",0,2023-06-27,"Evapotranspiration, gross primary productivity and water use efficiency over a high-density olive orchard using ground and satellite based data",10.1016/j.agwat.2023.108423,S0378377423002883
Agricultural Water Management,"['Jessica Penny', 'Carlos M. Ordens', 'Albert S. Chen']",0,2023-06-24,"Vineyards, vegetables or business-as-usual? Stakeholder-informed land use change modelling to predict the future of a groundwater-dependent prime-wine region under climate change",10.1016/j.agwat.2023.108417,S0378377423002822
Agricultural Water Management,"['Caixia Li', 'Guangshuai Wang', 'Di Feng']",0,2023-06-24,Soil moisture and water-nitrogen synergy dominate the change of soil carbon stock in farmland,10.1016/j.agwat.2023.108424,S0378377423002895
Agricultural Water Management,"['Rachel E. Schattman', 'Haley Jean', 'Tsutomu Ohno']",0,2023-06-24,Effects of irrigation scheduling approaches on soil moisture and vegetable production in the Northeastern U.S.A.,10.1016/j.agwat.2023.108428,S0378377423002937
Agricultural Water Management,"['Wasi Ul Hassan Shah', 'Gang Hao', 'Yuting Lu']",0,2023-06-24,Role of China's agricultural water policy reforms and production technology heterogeneity on agriculture water usage efficiency and total factor productivity change,10.1016/j.agwat.2023.108429,S0378377423002949
Agricultural Water Management,"['Shouzheng Jiang', 'Jie Wu', 'Yu Feng']",0,2023-06-23,Spatiotemporal variations of cropland carbon sequestration and water loss across China,10.1016/j.agwat.2023.108427,S0378377423002925
Agricultural Water Management,"['Shenglin Wen', 'Ningbo Cui', 'Jiaxin Wang']",0,2023-06-21,"A global meta-analysis of yield and water productivity of woody, herbaceous and vine fruits under deficit irrigation",10.1016/j.agwat.2023.108412,S0378377423002779
Agricultural Water Management,"['Sean Comber', 'Paul Lunt', 'Rob Schindler']",0,2023-06-21,Restoration management of phosphorus pollution on lowland fen peatlands: A data evidence review from the Somerset Levels and Moors,10.1016/j.agwat.2023.108419,S0378377423002846
Agricultural Water Management,"['Suat Irmak', 'Ali T. Mohammed', 'Matthew Drudik']",0,2023-06-21,"Maize nitrogen uptake, grain nitrogen concentration and root-zone residual nitrate nitrogen response under center pivot, subsurface drip and surface (furrow) irrigation",10.1016/j.agwat.2023.108421,S037837742300286X
Agricultural Water Management,"['María Arias', 'Claudia Notarnicola', 'Jesús Álvarez-Mozos']",0,2023-06-21,Evaluation of soil moisture estimation techniques based on Sentinel-1 observations over wheat fields,10.1016/j.agwat.2023.108422,S0378377423002871
Agricultural Water Management,"['Liming Dong', 'Guoqing Lei', 'Wenzhi Zeng']",0,2023-06-21,Improving crop modeling in saline soils by predicting root length density dynamics with machine learning algorithms,10.1016/j.agwat.2023.108425,S0378377423002901
Agricultural Water Management,"['Laljeet Sangha', 'Julie Shortridge']",0,2023-06-20,Quantification of unreported water use for supplemental crop irrigation in humid climates using publicly available agricultural data,10.1016/j.agwat.2023.108402,S0378377423002676
Agricultural Water Management,"['Hong Wang', 'Fubao Sun', 'Yao Feng']",0,2023-06-17,Reconstruction of the pan evaporation based on meteorological factors with machine learning method over China,10.1016/j.agwat.2023.108416,S0378377423002810
Agricultural Water Management,"['Donald O. Whittemore', 'James J. Butler', 'Blake B. Wilson']",0,2023-06-16,Are we saving water? Simple methods for assessing the effectiveness of groundwater conservation measures,10.1016/j.agwat.2023.108408,S0378377423002731
Agricultural Water Management,"['Liuyue He', 'Jingyuan Xue', 'Sufen Wang']",0,2023-06-16,WHCrop: A novel water-heat driven crop model for estimating the spatiotemporal dynamics of crop growth for arid region,10.1016/j.agwat.2023.108410,S0378377423002755
Agricultural Water Management,"['A. Garcia-Prats', 'J. M. Carricondo-Anton', 'M. Pulido-Velazquez']",0,2023-06-16,Dynamic procedure for daily PM56 ETo mapping conducive to site-specific irrigation recommendations in areas covered by agricultural weather networks,10.1016/j.agwat.2023.108415,S0378377423002809
Agricultural Water Management,"['M. Ndung’u', 'J. N. Mugwe', 'D. N. Mugendi']",0,2023-06-13,Tied-ridging and soil inputs enhance small-scale maize productivity and profitability under erratic rainfall conditions in central Kenya,10.1016/j.agwat.2023.108390,S037837742300255X
Agricultural Water Management,"['Yao Rong', 'Xiaoqin Dai', 'Zailin Huo']",0,2023-06-13,Dependence of evapotranspiration validity on shallow groundwater in arid area-a three years field observation experiment,10.1016/j.agwat.2023.108411,S0378377423002767
Agricultural Water Management,"['Zhenheng Xu', 'Hao Sun', 'JinHua Gao']",0,2023-06-11,Evaluating established deep learning methods in constructing integrated remote sensing drought index: A case study in China,10.1016/j.agwat.2023.108405,S0378377423002706
Agricultural Water Management,"['Julia Arbizu-Milagro', 'Francisco J. Castillo-Ruiz', 'Jose M. Peña']",0,2023-06-08,"Effects of regulated, precision and continuous deficit irrigation on the growth and productivity of a young super high-density olive orchard",10.1016/j.agwat.2023.108393,S0378377423002585
