journal,authors,buzz_id,date,name,doi,pii
Water Research X,"['Jessica Penny', 'Dibesh Khadka', 'Slobodan Djordjević']",0,2023-09-01,Using multi criteria decision analysis in a geographical information system framework to assess drought risk,10.1016/j.wroa.2023.100190,S2589914723000269
Water Research X,"['Abraham Cullom', 'Mattheu Storme Spencer', 'Marc A. Edwards']",0,2023-06-15,Influence of pipe materials on in-building disinfection of <ce:italic>P. aeruginosa</ce:italic> and <ce:italic>A. baumannii</ce:italic> in simulated hot water plumbing,10.1016/j.wroa.2023.100189,S2589914723000257
Water Research X,"['Jinha Kim', 'Myung Hwangbo', 'Kung-Hui Chu']",0,2023-09-01,Advances and perspectives of using stable isotope probing (SIP)-based technologies in contaminant biodegradation,10.1016/j.wroa.2023.100187,S2589914723000233
Water Research X,"['E. Mackey', 'R. Hofmann', 'S. A. Andrews']",0,2023-05-01,UV-chlorine advanced oxidation for potable water reuse: A review of the current state of the art and research needs,10.1016/j.wroa.2023.100183,S2589914723000191
Water Research X,"['Mei Bai', 'Zhiyao Wang', 'Deli Chen']",0,2023-05-01,Long-term onsite monitoring of a sewage sludge drying pan finds methane emissions consistent with IPCC default emission factor,10.1016/j.wroa.2023.100184,S2589914723000208
Water Research X,"['Richard Bade', 'Nikolaos Rousis', 'Jochen F. Mueller']",0,2023-05-01,Three years of wastewater surveillance for new psychoactive substances from 16 countries,10.1016/j.wroa.2023.100179,S2589914723000154
Water Research X,"['Magnus Arnell', 'Maya Miltell', 'Gustaf Olsson']",0,2023-05-01,Making waves: A vision for digital water utilities,10.1016/j.wroa.2023.100170,S2589914723000063
Water Research X,"['Eric McLamore', 'Owen Duckworth', 'Sandra Guzmán']",0,2023-05-01,Perspective: Phosphorus monitoring must be rooted in sustainability frameworks spanning material scale to human scale,10.1016/j.wroa.2023.100168,S258991472300004X
Water Research X,"['Antoine Brison', 'Pierre Rossi', 'Nicolas Derlon']",0,2023-01-01,Single CSTR can be as effective as an SBR in selecting PHA-storing biomass from municipal wastewater-derived feedstock,10.1016/j.wroa.2023.100165,S2589914723000014
Water Research X,"['Isaac G. Musaazi', 'Shane McLoughlin', 'Matthew E. Verbyla']",0,2023-01-01,A systematic review and meta-analysis of pathogen reduction in onsite sanitation systems,10.1016/j.wroa.2023.100171,S2589914723000075
Water Research X,"['Deborah Stoffel', 'Nicolas Derlon', 'Céline Jacquin']",0,2023-01-01,Gravity-driven membrane filtration with compact second-life modules daily backwashed: An alternative to conventional ultrafiltration for centralized facilities,10.1016/j.wroa.2023.100178,S2589914723000142
Water Research X,"['Eva Reynaert', 'Flavia Gretener', 'Eberhard Morgenroth']",0,2023-01-01,Sensor setpoints that ensure compliance with microbial water quality targets for membrane bioreactor and chlorination treatment in on-site water reuse systems,10.1016/j.wroa.2022.100164,S2589914722000342
Water Research X,"['Zhiguo Yuan', 'Eberhard Morgenroth']",0,2023-01-01,"Water Research X is becoming an independent, open access, top-quality journal in water science and technology",10.1016/j.wroa.2022.100163,S2589914722000330
Water Research X,"['Benjamin C. Davis', 'Ishi Keenum', 'Valerie J. Harwood']",0,2022-12-01,Towards the standardization of <ce:italic>Enterococcus</ce:italic> culture methods for waterborne antibiotic resistance monitoring: A critical review of trends across studies,10.1016/j.wroa.2022.100161,S2589914722000317
