,journal,authors,buzz_id,date,name,doi,pii
0,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",0,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
1,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",0,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
2,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",0,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
3,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",0,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
4,Journal of Hydro-environment Research,"['Konstantin Ochs', 'Gregory Egger', 'Matthias Schneider']",0,2020-05-31,The potential natural vegetation of large river floodplains – From dynamic to static equilibrium,10.1016/j.jher.2020.01.005,S1570644319301388
5,Journal of Hydro-environment Research,"['Guangqian Wang', 'Deyu Zhong', 'Yuefei Huang']",0,2018-10-31,"Study on sky rivers: Concept, theory, and implications",10.1016/j.jher.2018.09.003,S1570644318300558
6,Journal of Hydro-environment Research,"['Kairong Lin', 'Youqin Lin', 'Vijay P. Singh']",0,2017-06-30,"Inter- and intra- annual environmental flow alteration and its implication in the Pearl River Delta, South China",10.1016/j.jher.2017.01.002,S1570644315300952
7,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",1,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
8,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",1,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
9,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",1,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
10,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",1,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
11,Journal of Hydro-environment Research,"['Tomoko Kyuka', 'Kazunori Okabe', 'Kho Shinjo']",1,2020-06-30,"Dominating factors influencing rapid meander shift and levee breaches caused by a record-breaking flood in the Otofuke River, Japan",10.1016/j.jher.2020.05.003,S1570644319301194
12,Journal of Hydro-environment Research,"['Konstantin Ochs', 'Gregory Egger', 'Matthias Schneider']",1,2020-05-31,The potential natural vegetation of large river floodplains – From dynamic to static equilibrium,10.1016/j.jher.2020.01.005,S1570644319301388
13,Journal of Hydro-environment Research,"['Guangqian Wang', 'Deyu Zhong', 'Yuefei Huang']",1,2018-10-31,"Study on sky rivers: Concept, theory, and implications",10.1016/j.jher.2018.09.003,S1570644318300558
14,Journal of Hydro-environment Research,"['Kairong Lin', 'Youqin Lin', 'Vijay P. Singh']",1,2017-06-30,"Inter- and intra- annual environmental flow alteration and its implication in the Pearl River Delta, South China",10.1016/j.jher.2017.01.002,S1570644315300952
15,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",3,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
16,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",3,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
17,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",3,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
18,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",4,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
19,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",4,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
20,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",5,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
21,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",6,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
22,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",6,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
23,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",6,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
24,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",6,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
25,Journal of Hydro-environment Research,"['Guangqian Wang', 'Deyu Zhong', 'Yuefei Huang']",6,2018-10-31,"Study on sky rivers: Concept, theory, and implications",10.1016/j.jher.2018.09.003,S1570644318300558
26,Journal of Hydro-environment Research,"['Kairong Lin', 'Youqin Lin', 'Vijay P. Singh']",6,2017-06-30,"Inter- and intra- annual environmental flow alteration and its implication in the Pearl River Delta, South China",10.1016/j.jher.2017.01.002,S1570644315300952
27,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",7,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
28,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",7,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
29,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",7,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
30,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",7,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
31,Journal of Hydro-environment Research,"['Konstantin Ochs', 'Gregory Egger', 'Matthias Schneider']",7,2020-05-31,The potential natural vegetation of large river floodplains – From dynamic to static equilibrium,10.1016/j.jher.2020.01.005,S1570644319301388
32,Journal of Hydro-environment Research,"['Guangqian Wang', 'Deyu Zhong', 'Yuefei Huang']",7,2018-10-31,"Study on sky rivers: Concept, theory, and implications",10.1016/j.jher.2018.09.003,S1570644318300558
33,Journal of Hydro-environment Research,"['Kairong Lin', 'Youqin Lin', 'Vijay P. Singh']",7,2017-06-30,"Inter- and intra- annual environmental flow alteration and its implication in the Pearl River Delta, South China",10.1016/j.jher.2017.01.002,S1570644315300952
34,Journal of Hydro-environment Research,"['Hyunji Lee', 'Hakkwan Kim', 'Moon-Seong Kang']",9,2023-01-31,Analysis of the effects of low impact development practices on hydrological components using HSPF,10.1016/j.jher.2023.01.001,S1570644323000011
35,Journal of Hydro-environment Research,"['Cong Liu', 'Ronghai Hu', 'Changliang Shao']",9,2022-09-30,Monitoring water level and volume changes of lakes and reservoirs in the Yellow River Basin using ICESat-2 laser altimetry and Google Earth Engine,10.1016/j.jher.2022.07.005,S1570644322000466
36,Journal of Hydro-environment Research,"['Mohammadtaghi Avand', 'Alban Kuriqi', 'Omid Ghorbanzadeh']",9,2022-01-31,DEM resolution effects on machine learning performance for flood probability mapping,10.1016/j.jher.2021.10.002,S1570644321000769
37,Journal of Hydro-environment Research,"['Jiuhao Guo', 'Yaoyao Ma', 'Joseph H. W. Lee']",9,2021-05-31,Real-time automated identification of algal bloom species for fisheries management in subtropical coastal waters,10.1016/j.jher.2021.03.002,S1570644321000216
