journal,authors,buzz_id,date,name,doi,pii
Journal of Hydrology: Regional Studies,"['Senlin Zhu', 'Mariusz Ptak', 'Wenguang Luo']",0.0,2023-07-10,A simple approach to estimate lake surface water temperatures in Polish lowland lakes,10.1016/j.ejrh.2023.101468,S2214581823001556
Journal of Hydrology: Regional Studies,"['A. F. Nolin', 'M. P. Girardin', 'Y. Bergeron']",0.0,2023-07-08,"Observed and projected trends in spring flood discharges for the Upper Harricana River, eastern boreal Canada",10.1016/j.ejrh.2023.101462,S2214581823001490
Journal of Hydrology: Regional Studies,"['Youness Hrour', 'Ophélie Fovet', 'Zahra Thomas']",0.0,2023-07-08,A framework to assess future water-resource under climate change in northern Morocco using hydro-climatic modelling and water-withdrawal scenarios,10.1016/j.ejrh.2023.101465,S2214581823001520
Journal of Hydrology: Regional Studies,"['Song-Yue Yang', 'Wei-Ting Chen', 'Bing-Chen Jhong']",0.0,2023-06-30,"Adaptation strategy with public space for pluvial flood risk mitigation in a densely populated city: A case study in Huwei, Taiwan",10.1016/j.ejrh.2023.101452,S2214581823001398
Journal of Hydrology: Regional Studies,"['Zhaoyu Dong', 'Baisha Weng', 'Hao Wang']",0.0,2023-06-29,Applicability evaluation of three improved temperature vegetation dryness indices in High Mountain Asia,10.1016/j.ejrh.2023.101464,S2214581823001519
Journal of Hydrology: Regional Studies,"['Mingwei Ma', 'Mingming Ren', 'Yanwei Sun']",0.0,2023-06-27,"Nonstationary quantity-duration-frequency (QDF) relationships of lowflow in the source area of the Yellow River basin, China",10.1016/j.ejrh.2023.101450,S2214581823001374
Journal of Hydrology: Regional Studies,"['Yao Wu', 'Hanyu Ju', 'Yingna Sun']",0.0,2023-06-26,Increasing flood risk under climate change and social development in the Second Songhua River basin in Northeast China,10.1016/j.ejrh.2023.101459,S2214581823001465
Journal of Hydrology: Regional Studies,"['Xinghai Yang', 'Linguo Yuan', 'Changhai Li']",0.0,2023-06-23,Investigating terrestrial water storage changes in Southwest China by integrating GNSS and GRACE/GRACE-FO observations,10.1016/j.ejrh.2023.101457,S2214581823001441
Journal of Hydrology: Regional Studies,"['Jun Hou', 'Denghua Yan', 'Zhilei Yu']",0.0,2023-06-22,Attribution identification of natural runoff variation in the Yiluo River Basin,10.1016/j.ejrh.2023.101455,S2214581823001428
Journal of Hydrology: Regional Studies,"['Zhen Huang', 'Yan-Fang Sang', 'Vijay P. Singh']",0.0,2023-06-22,Clarification of dominating drivers for streamflow changes in the upper reach of Mekong River Basin,10.1016/j.ejrh.2023.101456,S221458182300143X
Journal of Hydrology: Regional Studies,"['Ali Torabi Haghighi', 'Mahdi Akbari', 'Bjørn Kløve']",0.0,2023-06-21,The impact of Turkey’s water resources development on the flow regime of the Tigris River in Iraq,10.1016/j.ejrh.2023.101454,S2214581823001416
Journal of Hydrology: Regional Studies,"['Jingxuan Sun', 'Wei Chen', 'Zheng Song']",0.0,2023-06-20,Roles of reservoirs in regulating basin flood and droughts risks under climate change: Historical assessment and future projection,10.1016/j.ejrh.2023.101453,S2214581823001404
Journal of Hydrology: Regional Studies,"['Milan Fischer', 'Petr Pavlík', 'Miroslav Trnka']",0.0,2023-06-18,Attributing the drivers of runoff decline in the Thaya river basin,10.1016/j.ejrh.2023.101436,S2214581823001234
Journal of Hydrology: Regional Studies,"['Bowen Sun', 'Wenning Sun', 'Xiaobo Liu']",0.0,2023-06-16,Multi-approach framework to estimate the mass flux at the sediment-water interface based on the effective diffusivity coefficient: A case study of the largest lake in North China,10.1016/j.ejrh.2023.101449,S2214581823001362
Journal of Hydrology: Regional Studies,"['Helge Bormann', 'Jenny Kebschull']",0.0,2023-06-16,Model based estimation of climate change impacts on the drainage demand of low lying coastal areas in Northwest Germany along the North Sea,10.1016/j.ejrh.2023.101451,S2214581823001386
Journal of Hydrology: Regional Studies,"['Juan F. Farfán', 'Luis Cea']",0.0,2023-06-02,Regional streamflow prediction in northwest Spain: A comparative analysis of regionalisation schemes,10.1016/j.ejrh.2023.101427,S2214581823001143
Journal of Hydrology: Regional Studies,"['Leonard O. Ohenhen', 'Micah Mayle', 'Estella A. Atekwana']",0.0,2023-06-01,"Exploring for groundwater in sub-Saharan Africa: Insights from integrated geophysical characterization of a weathered basement aquifer system, central Malawi",10.1016/j.ejrh.2023.101433,S2214581823001209
Journal of Hydrology: Regional Studies,"['Jiarui Yu', 'Lei Zou', 'Lingfeng Zuo']",0.0,2023-06-01,"A multi-dimensional framework for improving flood risk assessment: Application in the Han River Basin, China",10.1016/j.ejrh.2023.101434,S2214581823001210
Journal of Hydrology: Regional Studies,"['Xikun Wei', 'Guojie Wang', 'Zheng Duan']",0.0,2023-06-03,Evaluation of Transformer model and Self-Attention mechanism in the Yangtze River basin runoff prediction,10.1016/j.ejrh.2023.101438,S2214581823001258
Journal of Hydrology: Regional Studies,"['Junming Hao', 'Peiqian Jia', 'Mingli Zhang']",0.0,2023-06-07,Numerical analysis of the impacts of rainfall on permafrost-related slope stability on the Qinghai–Tibet Plateau,10.1016/j.ejrh.2023.101439,S221458182300126X
Journal of Hydrology: Regional Studies,"['Thanh Duc Dang', 'Mauricio E. Arias', 'Qiong Zhang']",0.0,2023-06-14,"Modeling temporal and spatial variations of biogeochemical processes in a large subtropical lake: Assessing alternative solutions to algal blooms in Lake Okeechobee, Florida",10.1016/j.ejrh.2023.101441,S2214581823001283
Journal of Hydrology: Regional Studies,"['Sumriti Ranjan Patra', 'Hone-Jay Chu', ' Tatas']",0.0,2023-06-11,Regional groundwater sequential forecasting using global and local LSTM models,10.1016/j.ejrh.2023.101442,S2214581823001295
Journal of Hydrology: Regional Studies,"['Hanxu Liang', 'Dan Zhang', 'Hengli Wang']",0.0,2023-06-14,Quantifying future water and energy security in the source area of the western route of China’s South-to-North water diversion project within the context of climatic and societal changes,10.1016/j.ejrh.2023.101443,S2214581823001301
Journal of Hydrology: Regional Studies,"['Javier Martínez-Dalmau', 'Carlos Gutiérrez-Martín', 'Julio Berbel']",0.0,2023-06-10,"Impact of alternative water policies for drought adaptation in the Guadalquivir Mediterranean river basin, southern Spain",10.1016/j.ejrh.2023.101444,S2214581823001313
Journal of Hydrology: Regional Studies,"['Huiru Jiang', 'Yonghong Yi', 'Binrong Zhou']",0.0,2023-06-12,Characterizing precipitation uncertainties in a high-altitudinal permafrost watershed of the Tibetan plateau based on regional water balance and hydrological model simulations,10.1016/j.ejrh.2023.101445,S2214581823001325
Journal of Hydrology: Regional Studies,"['Jitao Zhou', 'Xiaofeng Wang', 'Wenjie Yao']",0.0,2023-06-15,An approach to select optimum inputs for hydrological modeling to improve simulation accuracy in data-scarce regions,10.1016/j.ejrh.2023.101447,S2214581823001349
Journal of Hydrology: Regional Studies,"['Benjamin S. Linhoff', 'Kimberly R. Beisner', 'Zachary M. Shephard']",0.0,2023-05-31,Water quality at Chaco Culture National Historical Park and the potential effects of hydrocarbon extraction,10.1016/j.ejrh.2023.101430,S2214581823001179
Journal of Hydrology: Regional Studies,"['Charles Nduhiu Wamucii', 'Adriaan J. Teuling', 'Pieter R. van Oel']",0.0,2023-05-31,"Human influence on water availability variations in the upper Ewaso Ng’iro river basin, Kenya",10.1016/j.ejrh.2023.101432,S2214581823001192
Journal of Hydrology: Regional Studies,"['Xiaofeng Wang', 'You Tu', 'Zechong Sun']",0.0,2023-05-30,Coupled vegetation-climate dominates the evapotranspiration variability of Forest Protection Project,10.1016/j.ejrh.2023.101431,S2214581823001180
Journal of Hydrology: Regional Studies,"['Rui Tan', 'Zhaocai Wang', 'Junhao Wu']",0.0,2023-05-30,"A data-driven model for water quality prediction in Tai Lake, China, using secondary modal decomposition with multidimensional external features",10.1016/j.ejrh.2023.101435,S2214581823001222
Journal of Hydrology: Regional Studies,"['Ismail Abd-Elaty', 'Alban Kuriqi', 'Abdelaziz El Shinawi']",0.0,2023-05-23,Mitigation of urban waterlogging from flash floods hazards in vulnerable watersheds,10.1016/j.ejrh.2023.101429,S2214581823001167
Journal of Hydrology: Regional Studies,"['Xiaobo Zhai', 'Yongping Li', 'Yanfeng Li']",0.0,2023-05-22,Assessment of the potential impacts of climate changes on Syr Darya watershed: A hybrid ensemble analysis method,10.1016/j.ejrh.2023.101415,S2214581823001027
Journal of Hydrology: Regional Studies,"['Marta Jemeļjanova', 'Raoul A. Collenteur', 'Andis Kalvāns']",0.0,2023-05-22,Modeling hydraulic heads with impulse response functions in different environmental settings of the Baltic countries,10.1016/j.ejrh.2023.101416,S2214581823001039
Journal of Hydrology: Regional Studies,"['Yuannan Long', 'Wenwu Chen', 'Xiaofeng Wen']",0.0,2023-05-19,Improving streamflow simulation in Dongting Lake Basin by coupling hydrological and hydrodynamic models and considering water yields in data-scarce areas,10.1016/j.ejrh.2023.101420,S2214581823001076
Journal of Hydrology: Regional Studies,"['Rodrigo Rojas', 'Dennis Gonzalez', 'Guobin Fu']",0.0,2023-05-17,"Resilience, stress and sustainability of alluvial aquifers in the Murray-Darling Basin, Australia: Opportunities for groundwater management",10.1016/j.ejrh.2023.101419,S2214581823001064
Journal of Hydrology: Regional Studies,"['Nengfang Chao', 'Jiangyuan Wang', 'Guichong Ouyang']",0.0,2023-05-17,Multi-Lagrange multiplier method to improve the region-specific GRACE estimation of water storage change in eleven sub-basins of the Yangtze River,10.1016/j.ejrh.2023.101426,S2214581823001131
Journal of Hydrology: Regional Studies,"['Wyeth Wunderlich', 'Margaret Lang', 'Jasper Oshun']",0.0,2023-05-16,The role of peat-forming bofedales in sustaining baseflow in the humid puna,10.1016/j.ejrh.2023.101394,S2214581823000812
Journal of Hydrology: Regional Studies,"['Bérenger Koffi', 'Alexis Loukou Brou', 'Kouakou Lazare Kouassi']",0.0,2023-05-16,"Impact of climate and land use/land cover change on Lobo reservoir inflow, West-Central of Côte d'Ivoire",10.1016/j.ejrh.2023.101417,S2214581823001040
Journal of Hydrology: Regional Studies,"['Lei Wen', 'Zhongbo Yu', 'Changjun Liu']",0.0,2023-05-16,Factors influencing calibration of a semi-distributed mixed runoff hydrological model: A study on nine small mountain catchments in China,10.1016/j.ejrh.2023.101418,S2214581823001052
Journal of Hydrology: Regional Studies,"['Feiyan Xiao', 'Xunming Wang', 'Congsheng Fu']",0.0,2023-05-16,Impacts of land use/land cover and climate change on hydrological cycle in the Xiaoxingkai Lake Basin,10.1016/j.ejrh.2023.101422,S221458182300109X
Journal of Hydrology: Regional Studies,"['Meiliang Zhao', 'Guangchao Cao', 'Xin Yan']",0.0,2023-05-16,Quantifying impact of climatic and anthropogenic factors on runoff in the source region of Alpine River in northeast Qinghai-Tibetan Plateau,10.1016/j.ejrh.2023.101423,S2214581823001106
Journal of Hydrology: Regional Studies,"['Xin Pan', 'Suyi Liu', 'Yuanbo Liu']",0.0,2023-05-16,Spatio-temporal variation of evapotranspiration and its linkage with environmental factors in the largest freshwater lake wetland in China,10.1016/j.ejrh.2023.101424,S2214581823001118
Journal of Hydrology: Regional Studies,"['Yujuan Mo', 'Hang Wan', 'Yongyang Wang']",0.0,2023-05-13,Re-establishing fish migration channel of large reservoirs in Jinsha River Basin of China by using an eco-friendly reservoir operation method,10.1016/j.ejrh.2023.101412,S221458182300099X
Journal of Hydrology: Regional Studies,"['Christopher Kouakou', 'Jean-Emmanuel Paturel', 'Nathalie Rouché']",0.0,2023-05-12,Comparison of gridded precipitation estimates for regional hydrological modeling in West and Central Africa,10.1016/j.ejrh.2023.101409,S2214581823000964
Journal of Hydrology: Regional Studies,"['J. R. Kennedy', 'M. T. Bell']",0.0,2023-05-11,"Measuring basin-scale aquifer storage change and mapping specific yield in Albuquerque, New Mexico, USA, with repeat microgravity data",10.1016/j.ejrh.2023.101413,S2214581823001003
Journal of Hydrology: Regional Studies,"['Zhaoyi Zhang', 'Yanhu He', 'Qian Tan']",0.0,2023-05-11,Improvement of WEAP model considering regional and industrial water distribution priority and its application,10.1016/j.ejrh.2023.101414,S2214581823001015
Journal of Hydrology: Regional Studies,"['I. K. Seidenfaden', 'M. Mansour', 'W. J. Zaadnoordijk']",0.0,2023-05-10,Evaluating recharge estimates based on groundwater head from different lumped models in Europe,10.1016/j.ejrh.2023.101399,S2214581823000861
Journal of Hydrology: Regional Studies,"['Xiazhong Zheng', 'Chenfei Duan', 'Zhixia Wu']",0.0,2023-05-08,Disaster loss calculation method of urban flood bimodal data fusion based on remote sensing and text,10.1016/j.ejrh.2023.101410,S2214581823000976
Journal of Hydrology: Regional Studies,"['Ali Zaeri', 'Zargham Mohammadi', 'Fereidoun Rezanezhad']",0.0,2023-05-07,Determining the source and mechanism of river salinity: An integrated regional study,10.1016/j.ejrh.2023.101411,S2214581823000988
Journal of Hydrology: Regional Studies,"['Yehai Tang', 'Yue Sun', 'Caihong Hu']",0.0,2023-05-05,flood forecasting based on machine learning pattern recognition and dynamic migration of parameters,10.1016/j.ejrh.2023.101406,S2214581823000939
Journal of Hydrology: Regional Studies,['Zhaofei Liu'],0.0,2023-05-04,Accuracy of satellite precipitation products in data-scarce Inner Tibetan Plateau comprehensively evaluated using a novel ground observation network,10.1016/j.ejrh.2023.101405,S2214581823000927
Journal of Hydrology: Regional Studies,"['Xiao Pan', 'Ataur Rahman', 'Ashish Sharma']",0.0,2023-05-04,Regional flood frequency analysis based on peaks-over-threshold approach: A case study for South-Eastern Australia,10.1016/j.ejrh.2023.101407,S2214581823000940
Journal of Hydrology: Regional Studies,"['Satbyeol Shin', 'Younggu Her', 'Aditya Singh']",0.0,2023-05-04,Climate change impacts on water quantity and quality of a watershed-lake system using a spatially integrated modeling framework in the Kissimmee River – Lake Okeechobee system,10.1016/j.ejrh.2023.101408,S2214581823000952
Journal of Hydrology: Regional Studies,"['Sheng Wang', 'Tandong Yao', 'Jinfeng Wang']",0.0,2023-05-03,"Historical reconstruction and future projection of mass balance and ice volume of Qiyi Glacier, Northeast Tibetan Plateau",10.1016/j.ejrh.2023.101403,S2214581823000903
