index,doi
16500,10.1016/j.watres.2021.117808
16500,10.1016/j.watres.2021.117808
16503,10.1016/j.watres.2021.117816
16503,10.1016/j.watres.2021.117816
16504,10.1016/j.watres.2021.117810
16504,10.1016/j.watres.2021.117810
16505,10.1016/j.watres.2021.117819
16505,10.1016/j.watres.2021.117819
16511,10.1016/j.watres.2021.117824
16511,10.1016/j.watres.2021.117824
16516,10.1016/j.watres.2021.117806
16516,10.1016/j.watres.2021.117806
16517,10.1016/j.watres.2021.117798
16517,10.1016/j.watres.2021.117798
16518,10.1016/j.watres.2021.117825
16518,10.1016/j.watres.2021.117825
16528,10.1016/j.watres.2021.117831
16528,10.1016/j.watres.2021.117831
16540,10.1016/j.watres.2021.117731
16540,10.1016/j.watres.2021.117731
16545,10.1016/j.watres.2021.117737
16545,10.1016/j.watres.2021.117737
16551,10.1016/j.watres.2021.117741
16551,10.1016/j.watres.2021.117741
16556,10.1016/j.watres.2021.117747
16556,10.1016/j.watres.2021.117747
16557,10.1016/j.watres.2021.117749
16557,10.1016/j.watres.2021.117749
16562,10.1016/j.watres.2021.117750
16562,10.1016/j.watres.2021.117750
16566,10.1016/j.watres.2021.117746
16566,10.1016/j.watres.2021.117746
16567,10.1016/j.watres.2021.117777
16567,10.1016/j.watres.2021.117777
16572,10.1016/j.watres.2021.117757
16572,10.1016/j.watres.2021.117757
16576,10.1016/j.watres.2021.117665
16576,10.1016/j.watres.2021.117665
16579,10.1016/j.watres.2021.117666
16579,10.1016/j.watres.2021.117666
16581,10.1016/j.watres.2021.117718
16581,10.1016/j.watres.2021.117718
16584,10.1016/j.watres.2021.117655
16584,10.1016/j.watres.2021.117655
16587,10.1016/j.watres.2021.117663
16587,10.1016/j.watres.2021.117663
16590,10.1016/j.watres.2021.117660
16590,10.1016/j.watres.2021.117660
16594,10.1016/j.watres.2021.117652
16594,10.1016/j.watres.2021.117652
16598,10.1016/j.watres.2021.117688
16598,10.1016/j.watres.2021.117688
16600,10.1016/j.watres.2021.117675
16600,10.1016/j.watres.2021.117675
16601,10.1016/j.watres.2021.117680
16601,10.1016/j.watres.2021.117680
16603,10.1016/j.watres.2021.117686
16603,10.1016/j.watres.2021.117686
16605,10.1016/j.watres.2021.117697
16605,10.1016/j.watres.2021.117697
