Column1,index,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi,journal
0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104486,Advances in Water Resources
1,11,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104493,Advances in Water Resources
2,19,62,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104463,Advances in Water Resources
3,24,31,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,1,10.1016/j.advwatres.2023.104442,Advances in Water Resources
4,35,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104440,Advances in Water Resources
5,64,78,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104384,Advances in Water Resources
6,70,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104340,Advances in Water Resources
7,77,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104359,Advances in Water Resources
9,92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104310,Advances in Water Resources
10,94,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2022.104308,Advances in Water Resources
11,97,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104300,Advances in Water Resources
12,99,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104287,Advances in Water Resources
13,106,80,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104274,Advances in Water Resources
14,111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104238,Advances in Water Resources
15,128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104264,Advances in Water Resources
16,129,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104267,Advances in Water Resources
17,139,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104241,Advances in Water Resources
18,140,24,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,19,0,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104243,Advances in Water Resources
19,142,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104203,Advances in Water Resources
21,160,28,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,14,0,4,0,0,0,0,0,3,0,0,10.1016/j.advwatres.2022.104217,Advances in Water Resources
22,166,59,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104166,Advances in Water Resources
23,170,29,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104169,Advances in Water Resources
24,185,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104106,Advances in Water Resources
25,188,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104126,Advances in Water Resources
26,201,21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,10.1016/j.advwatres.2021.104075,Advances in Water Resources
27,202,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104110,Advances in Water Resources
28,204,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104103,Advances in Water Resources
29,215,66,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104076,Advances in Water Resources
30,216,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.104078,Advances in Water Resources
31,218,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104085,Advances in Water Resources
32,230,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104064,Advances in Water Resources
