index,doi,buzz_id,category,subword,count
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,machine learning,4
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,decision tree,23
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,random forest,6
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,nearest neighbor,3
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,regression,12
7,10.1016/j.advwatres.2023.104486,7,Modeling,simulation,4
7,10.1016/j.advwatres.2023.104486,7,Modeling,model calibration,1
7,10.1016/j.advwatres.2023.104486,7,Modeling,model validation,1
7,10.1016/j.advwatres.2023.104486,7,Modeling,model parameters,6
7,10.1016/j.advwatres.2023.104486,7,Modeling,model uncertainty,1
7,10.1016/j.advwatres.2023.104486,18,Data Mining,decision trees,6
7,10.1016/j.advwatres.2023.104486,18,Data Mining,overfitting,3
7,10.1016/j.advwatres.2023.104486,20,Chatbots,machine learning models,1
11,10.1016/j.advwatres.2023.104493,0,AI and Machine Learning,machine learning,1
11,10.1016/j.advwatres.2023.104493,0,AI and Machine Learning,classification,14
11,10.1016/j.advwatres.2023.104493,0,AI and Machine Learning,regression,4
11,10.1016/j.advwatres.2023.104493,7,Modeling,hec ras,2
11,10.1016/j.advwatres.2023.104493,7,Modeling,hec ras,2
11,10.1016/j.advwatres.2023.104493,7,Modeling,simulation,5
11,10.1016/j.advwatres.2023.104493,12,Data Analytics,statistical analysis,1
11,10.1016/j.advwatres.2023.104493,19,Predictive Analysis,risk management,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,artificial intelligence,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,classification,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,nearest neighbor,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,regression,3
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,gradient descent,2
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,neural network,53
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,batch normalization,1
19,10.1016/j.advwatres.2023.104463,1,Big Data,big data,1
19,10.1016/j.advwatres.2023.104463,1,Big Data,data processing,2
19,10.1016/j.advwatres.2023.104463,7,Modeling,simulation,1
19,10.1016/j.advwatres.2023.104463,8,NLP,natural language processing,1
19,10.1016/j.advwatres.2023.104463,12,Data Analytics,statistical analysis,1
19,10.1016/j.advwatres.2023.104463,12,Data Analytics,data interpretation,1
19,10.1016/j.advwatres.2023.104463,16,Voice User Interface (VUI),natural language processing,1
19,10.1016/j.advwatres.2023.104463,18,Data Mining,natural language processing,1
19,10.1016/j.advwatres.2023.104463,18,Data Mining,neural networks,9
19,10.1016/j.advwatres.2023.104463,18,Data Mining,deep learning,15
19,10.1016/j.advwatres.2023.104463,18,Data Mining,overfitting,3
19,10.1016/j.advwatres.2023.104463,20,Chatbots,natural language processing,1
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,machine learning,5
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,classification,2
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,regression,3
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,neural network,17
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,transfer learning,1
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,object detection,1
24,10.1016/j.advwatres.2023.104442,0,AI and Machine Learning,batch normalization,2
24,10.1016/j.advwatres.2023.104442,7,Modeling,simulation,41
24,10.1016/j.advwatres.2023.104442,7,Modeling,model validation,1
24,10.1016/j.advwatres.2023.104442,10,5G,network architecture,2
24,10.1016/j.advwatres.2023.104442,12,Data Analytics,data analysis,1
24,10.1016/j.advwatres.2023.104442,18,Data Mining,neural networks,9
24,10.1016/j.advwatres.2023.104442,18,Data Mining,deep learning,12
24,10.1016/j.advwatres.2023.104442,18,Data Mining,model evaluation,1
24,10.1016/j.advwatres.2023.104442,18,Data Mining,overfitting,7
24,10.1016/j.advwatres.2023.104442,20,Chatbots,machine learning models,1
24,10.1016/j.advwatres.2023.104442,28,Web Applications,java,1
35,10.1016/j.advwatres.2023.104440,0,AI and Machine Learning,machine learning,13
35,10.1016/j.advwatres.2023.104440,0,AI and Machine Learning,classification,13
35,10.1016/j.advwatres.2023.104440,0,AI and Machine Learning,random forest,10
35,10.1016/j.advwatres.2023.104440,0,AI and Machine Learning,regression,24
35,10.1016/j.advwatres.2023.104440,0,AI and Machine Learning,neural network,2
35,10.1016/j.advwatres.2023.104440,7,Modeling,geographic information system,3
35,10.1016/j.advwatres.2023.104440,18,Data Mining,clustering,1
35,10.1016/j.advwatres.2023.104440,18,Data Mining,k means,2
35,10.1016/j.advwatres.2023.104440,18,Data Mining,neural networks,2
35,10.1016/j.advwatres.2023.104440,18,Data Mining,logistic regression,1
35,10.1016/j.advwatres.2023.104440,20,Chatbots,machine learning models,1
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,artificial intelligence,2
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,machine learning,11
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,classification,4
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,decision tree,6
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,random forest,2
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,support vector machine,1
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,nearest neighbor,1
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,regression,11
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,gradient descent,3
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,backpropagation,3
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,neural network,30
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,long short term memory,1
64,10.1016/j.advwatres.2023.104384,0,AI and Machine Learning,semantic segmentation,3
64,10.1016/j.advwatres.2023.104384,1,Big Data,data processing,1
64,10.1016/j.advwatres.2023.104384,2,Blockchain and Cryptocurrency,solidity,1
64,10.1016/j.advwatres.2023.104384,7,Modeling,simulation,3
64,10.1016/j.advwatres.2023.104384,7,Modeling,model prediction,1
64,10.1016/j.advwatres.2023.104384,14,Nanotechnology,nanoscale,1
64,10.1016/j.advwatres.2023.104384,18,Data Mining,decision trees,4
64,10.1016/j.advwatres.2023.104384,18,Data Mining,neural networks,7
64,10.1016/j.advwatres.2023.104384,18,Data Mining,deep learning,9
64,10.1016/j.advwatres.2023.104384,18,Data Mining,overfitting,4
70,10.1016/j.advwatres.2022.104340,0,AI and Machine Learning,machine learning,4
70,10.1016/j.advwatres.2022.104340,0,AI and Machine Learning,classification,1
70,10.1016/j.advwatres.2022.104340,0,AI and Machine Learning,neural network,2
70,10.1016/j.advwatres.2022.104340,6,Automation,test execution,1
70,10.1016/j.advwatres.2022.104340,7,Modeling,simulation,13
70,10.1016/j.advwatres.2022.104340,18,Data Mining,clustering,1
70,10.1016/j.advwatres.2022.104340,18,Data Mining,neural networks,1
70,10.1016/j.advwatres.2022.104340,18,Data Mining,deep learning,2
77,10.1016/j.advwatres.2022.104359,0,AI and Machine Learning,regression,14
77,10.1016/j.advwatres.2022.104359,7,Modeling,simulation,15
77,10.1016/j.advwatres.2022.104359,12,Data Analytics,data analysis,4
92,10.1016/j.advwatres.2022.104310,0,AI and Machine Learning,regression,6
92,10.1016/j.advwatres.2022.104310,7,Modeling,simulation,36
92,10.1016/j.advwatres.2022.104310,7,Modeling,model parameters,1
92,10.1016/j.advwatres.2022.104310,7,Modeling,model sensitivity analysis,1
92,10.1016/j.advwatres.2022.104310,18,Data Mining,model evaluation,2
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,machine learning,2
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,supervised learning,1
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,unsupervised learning,1
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,reinforcement learning,16
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,regression,4
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,neural network,11
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,q learning,2
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,policy gradient method,2
94,10.1016/j.advwatres.2022.104308,0,AI and Machine Learning,markov decision process,2
94,10.1016/j.advwatres.2022.104308,7,Modeling,simulation,28
94,10.1016/j.advwatres.2022.104308,18,Data Mining,neural networks,3
94,10.1016/j.advwatres.2022.104308,18,Data Mining,reinforcement learning,16
94,10.1016/j.advwatres.2022.104308,22,Smart Cities,renewable energy,2
97,10.1016/j.advwatres.2022.104300,0,AI and Machine Learning,machine learning,4
97,10.1016/j.advwatres.2022.104300,0,AI and Machine Learning,regression,25
97,10.1016/j.advwatres.2022.104300,0,AI and Machine Learning,neural network,1
97,10.1016/j.advwatres.2022.104300,0,AI and Machine Learning,long short term memory,1
97,10.1016/j.advwatres.2022.104300,1,Big Data,data integration,1
97,10.1016/j.advwatres.2022.104300,7,Modeling,simulation,2
97,10.1016/j.advwatres.2022.104300,7,Modeling,model parameters,3
97,10.1016/j.advwatres.2022.104300,12,Data Analytics,data integration,1
97,10.1016/j.advwatres.2022.104300,18,Data Mining,clustering,11
97,10.1016/j.advwatres.2022.104300,18,Data Mining,k means,3
97,10.1016/j.advwatres.2022.104300,18,Data Mining,neural networks,1
97,10.1016/j.advwatres.2022.104300,18,Data Mining,data integration,1
99,10.1016/j.advwatres.2022.104287,0,AI and Machine Learning,classification,31
99,10.1016/j.advwatres.2022.104287,1,Big Data,data management,1
99,10.1016/j.advwatres.2022.104287,5,Cybersecurity,risk assessment,1
99,10.1016/j.advwatres.2022.104287,7,Modeling,simulation,27
99,10.1016/j.advwatres.2022.104287,7,Modeling,model calibration,3
99,10.1016/j.advwatres.2022.104287,7,Modeling,model parameters,1
99,10.1016/j.advwatres.2022.104287,7,Modeling,model accuracy,4
99,10.1016/j.advwatres.2022.104287,19,Predictive Analysis,risk assessment,1
99,10.1016/j.advwatres.2022.104287,19,Predictive Analysis,risk management,1
99,10.1016/j.advwatres.2022.104287,22,Smart Cities,sustainable development,1
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,artificial intelligence,1
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,machine learning,4
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,classification,30
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,decision tree,17
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,random forest,8
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,support vector machine,1
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,regression,13
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,neural network,3
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,long short term memory,2
106,10.1016/j.advwatres.2022.104274,0,AI and Machine Learning,gated recurrent unit,1
106,10.1016/j.advwatres.2022.104274,1,Big Data,data processing,1
106,10.1016/j.advwatres.2022.104274,1,Big Data,data transformation,1
106,10.1016/j.advwatres.2022.104274,7,Modeling,simulation,50
106,10.1016/j.advwatres.2022.104274,7,Modeling,model prediction,1
106,10.1016/j.advwatres.2022.104274,7,Modeling,model accuracy,1
106,10.1016/j.advwatres.2022.104274,7,Modeling,model application,1
106,10.1016/j.advwatres.2022.104274,7,Modeling,model complexity,2
106,10.1016/j.advwatres.2022.104274,12,Data Analytics,data transformation,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,data mining,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,decision trees,7
106,10.1016/j.advwatres.2022.104274,18,Data Mining,dimensionality reduction,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,feature selection,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,neural networks,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,overfitting,5
106,10.1016/j.advwatres.2022.104274,18,Data Mining,data cleaning,1
106,10.1016/j.advwatres.2022.104274,18,Data Mining,data preprocessing,5
106,10.1016/j.advwatres.2022.104274,20,Chatbots,machine learning models,2
111,10.1016/j.advwatres.2022.104238,0,AI and Machine Learning,machine learning,4
111,10.1016/j.advwatres.2022.104238,0,AI and Machine Learning,generative adversarial network,2
111,10.1016/j.advwatres.2022.104238,7,Modeling,simulation,6
111,10.1016/j.advwatres.2022.104238,18,Data Mining,deep learning,1
128,10.1016/j.advwatres.2022.104264,0,AI and Machine Learning,machine learning,2
128,10.1016/j.advwatres.2022.104264,0,AI and Machine Learning,neural network,2
128,10.1016/j.advwatres.2022.104264,0,AI and Machine Learning,generative adversarial network,6
128,10.1016/j.advwatres.2022.104264,7,Modeling,simulation,6
128,10.1016/j.advwatres.2022.104264,18,Data Mining,neural networks,1
128,10.1016/j.advwatres.2022.104264,18,Data Mining,overfitting,5
129,10.1016/j.advwatres.2022.104267,0,AI and Machine Learning,regression,8
129,10.1016/j.advwatres.2022.104267,7,Modeling,simulation,1
129,10.1016/j.advwatres.2022.104267,7,Modeling,model simplification,1
139,10.1016/j.advwatres.2022.104241,0,AI and Machine Learning,regression,8
140,10.1016/j.advwatres.2022.104243,0,AI and Machine Learning,machine learning,5
140,10.1016/j.advwatres.2022.104243,0,AI and Machine Learning,support vector machine,1
140,10.1016/j.advwatres.2022.104243,0,AI and Machine Learning,neural network,17
140,10.1016/j.advwatres.2022.104243,0,AI and Machine Learning,long short term memory,1
140,10.1016/j.advwatres.2022.104243,7,Modeling,simulation,15
140,10.1016/j.advwatres.2022.104243,7,Modeling,model application,1
140,10.1016/j.advwatres.2022.104243,8,NLP,natural language processing,1
140,10.1016/j.advwatres.2022.104243,10,5G,network architecture,2
140,10.1016/j.advwatres.2022.104243,16,Voice User Interface (VUI),natural language processing,1
140,10.1016/j.advwatres.2022.104243,18,Data Mining,natural language processing,1
140,10.1016/j.advwatres.2022.104243,18,Data Mining,neural networks,4
140,10.1016/j.advwatres.2022.104243,18,Data Mining,deep learning,11
140,10.1016/j.advwatres.2022.104243,18,Data Mining,genetic algorithms,1
140,10.1016/j.advwatres.2022.104243,18,Data Mining,model evaluation,2
140,10.1016/j.advwatres.2022.104243,20,Chatbots,natural language processing,1
140,10.1016/j.advwatres.2022.104243,20,Chatbots,machine learning models,1
140,10.1016/j.advwatres.2022.104243,22,Smart Cities,water management,1
142,10.1016/j.advwatres.2022.104203,0,AI and Machine Learning,regression,13
142,10.1016/j.advwatres.2022.104203,7,Modeling,simulation,9
142,10.1016/j.advwatres.2022.104203,7,Modeling,model accuracy,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,machine learning,3
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,classification,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,support vector machine,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,regression,2
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,gradient descent,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,stochastic gradient descent,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,neural network,6
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,long short term memory,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,attention mechanism,10
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,word embedding,1
160,10.1016/j.advwatres.2022.104217,0,AI and Machine Learning,word2vec,1
160,10.1016/j.advwatres.2022.104217,7,Modeling,simulation,12
160,10.1016/j.advwatres.2022.104217,7,Modeling,model parameters,2
160,10.1016/j.advwatres.2022.104217,8,NLP,nlp,2
160,10.1016/j.advwatres.2022.104217,8,NLP,natural language processing,1
160,10.1016/j.advwatres.2022.104217,8,NLP,text classification,1
