index,doi
4763,10.1016/j.jhydrol.2021.125989
4763,10.1016/j.jhydrol.2021.125989
22102,10.1016/j.oceaneng.2020.106957
22102,10.1016/j.oceaneng.2020.106957
22103,10.1016/j.oceaneng.2020.106954
22103,10.1016/j.oceaneng.2020.106954
22104,10.1016/j.oceaneng.2020.107007
22104,10.1016/j.oceaneng.2020.107007
22105,10.1016/j.oceaneng.2020.106997
22105,10.1016/j.oceaneng.2020.106997
22106,10.1016/j.oceaneng.2020.107005
22106,10.1016/j.oceaneng.2020.107005
22107,10.1016/j.oceaneng.2020.106991
22107,10.1016/j.oceaneng.2020.106991
22108,10.1016/j.oceaneng.2020.107006
22108,10.1016/j.oceaneng.2020.107006
22109,10.1016/j.oceaneng.2020.107013
22109,10.1016/j.oceaneng.2020.107013
22110,10.1016/j.oceaneng.2020.107002
22110,10.1016/j.oceaneng.2020.107002
22111,10.1016/j.oceaneng.2020.106998
22111,10.1016/j.oceaneng.2020.106998
22112,10.1016/j.oceaneng.2020.106974
22112,10.1016/j.oceaneng.2020.106974
22113,10.1016/j.oceaneng.2020.106953
22113,10.1016/j.oceaneng.2020.106953
22114,10.1016/j.oceaneng.2020.106966
22114,10.1016/j.oceaneng.2020.106966
22115,10.1016/j.oceaneng.2020.106920
22115,10.1016/j.oceaneng.2020.106920
22116,10.1016/j.oceaneng.2019.106824
22116,10.1016/j.oceaneng.2019.106824
22117,10.1016/j.oceaneng.2019.106808
22117,10.1016/j.oceaneng.2019.106808
22118,10.1016/j.oceaneng.2019.106847
22118,10.1016/j.oceaneng.2019.106847
22119,10.1016/j.oceaneng.2019.106856
22119,10.1016/j.oceaneng.2019.106856
22120,10.1016/j.oceaneng.2019.106833
22120,10.1016/j.oceaneng.2019.106833
22121,10.1016/j.oceaneng.2019.106844
22121,10.1016/j.oceaneng.2019.106844
22122,10.1016/j.oceaneng.2019.106857
22122,10.1016/j.oceaneng.2019.106857
22123,10.1016/j.oceaneng.2019.106825
22123,10.1016/j.oceaneng.2019.106825
22124,10.1016/j.oceaneng.2019.106826
22124,10.1016/j.oceaneng.2019.106826
22125,10.1016/j.oceaneng.2019.106862
22125,10.1016/j.oceaneng.2019.106862
22126,10.1016/j.oceaneng.2019.106854
22126,10.1016/j.oceaneng.2019.106854
22127,10.1016/j.oceaneng.2019.106860
22127,10.1016/j.oceaneng.2019.106860
22128,10.1016/j.oceaneng.2019.106867
22128,10.1016/j.oceaneng.2019.106867
22129,10.1016/j.oceaneng.2019.106809
22129,10.1016/j.oceaneng.2019.106809
22130,10.1016/j.oceaneng.2019.106868
22130,10.1016/j.oceaneng.2019.106868
22131,10.1016/j.oceaneng.2019.106866
22131,10.1016/j.oceaneng.2019.106866
22132,10.1016/j.oceaneng.2019.106871
22132,10.1016/j.oceaneng.2019.106871
22133,10.1016/j.oceaneng.2019.106912
22133,10.1016/j.oceaneng.2019.106912
22134,10.1016/j.oceaneng.2019.106890
22134,10.1016/j.oceaneng.2019.106890
22135,10.1016/j.oceaneng.2019.106915
22135,10.1016/j.oceaneng.2019.106915
22136,10.1016/j.oceaneng.2019.106904
22136,10.1016/j.oceaneng.2019.106904
22137,10.1016/j.oceaneng.2019.106914
22137,10.1016/j.oceaneng.2019.106914
22138,10.1016/j.oceaneng.2019.106875
22138,10.1016/j.oceaneng.2019.106875
22139,10.1016/j.oceaneng.2019.106900
22139,10.1016/j.oceaneng.2019.106900
22140,10.1016/j.oceaneng.2019.106880
22140,10.1016/j.oceaneng.2019.106880
22141,10.1016/j.oceaneng.2019.106873
22141,10.1016/j.oceaneng.2019.106873
22142,10.1016/j.oceaneng.2019.106902
22142,10.1016/j.oceaneng.2019.106902
22143,10.1016/j.oceaneng.2019.106874
22143,10.1016/j.oceaneng.2019.106874
22144,10.1016/j.oceaneng.2019.106881
22144,10.1016/j.oceaneng.2019.106881
22145,10.1016/j.oceaneng.2019.106884
22145,10.1016/j.oceaneng.2019.106884
22146,10.1016/j.oceaneng.2019.106843
22146,10.1016/j.oceaneng.2019.106843
22147,10.1016/j.oceaneng.2019.106893
22147,10.1016/j.oceaneng.2019.106893
22148,10.1016/j.oceaneng.2019.106882
22148,10.1016/j.oceaneng.2019.106882
22149,10.1016/j.oceaneng.2019.106895
22149,10.1016/j.oceaneng.2019.106895
22150,10.1016/j.oceaneng.2019.106907
22150,10.1016/j.oceaneng.2019.106907
22151,10.1016/j.oceaneng.2019.106891
22151,10.1016/j.oceaneng.2019.106891
22152,10.1016/j.oceaneng.2019.106896
22152,10.1016/j.oceaneng.2019.106896
22153,10.1016/j.oceaneng.2019.106879
22153,10.1016/j.oceaneng.2019.106879
22154,10.1016/j.oceaneng.2019.106876
22154,10.1016/j.oceaneng.2019.106876
22155,10.1016/j.oceaneng.2019.106898
22155,10.1016/j.oceaneng.2019.106898
22156,10.1016/j.oceaneng.2019.106877
22156,10.1016/j.oceaneng.2019.106877
