index,doi,buzz_id,category,subword,count
1,10.1016/j.advwatres.2023.104475,7,Modeling,simulation,21
1,10.1016/j.advwatres.2023.104475,7,Modeling,model parameters,1
1,10.1016/j.advwatres.2023.104475,14,Nanotechnology,nanoparticle,102
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,machine learning,4
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,decision tree,23
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,random forest,6
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,nearest neighbor,3
7,10.1016/j.advwatres.2023.104486,0,AI and Machine Learning,regression,12
7,10.1016/j.advwatres.2023.104486,7,Modeling,simulation,4
7,10.1016/j.advwatres.2023.104486,7,Modeling,model calibration,1
7,10.1016/j.advwatres.2023.104486,7,Modeling,model validation,1
7,10.1016/j.advwatres.2023.104486,7,Modeling,model parameters,6
7,10.1016/j.advwatres.2023.104486,7,Modeling,model uncertainty,1
7,10.1016/j.advwatres.2023.104486,18,Data Mining,decision trees,6
7,10.1016/j.advwatres.2023.104486,18,Data Mining,overfitting,3
7,10.1016/j.advwatres.2023.104486,20,Chatbots,machine learning models,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,artificial intelligence,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,classification,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,nearest neighbor,1
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,regression,3
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,gradient descent,2
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,neural network,53
19,10.1016/j.advwatres.2023.104463,0,AI and Machine Learning,batch normalization,1
19,10.1016/j.advwatres.2023.104463,1,Big Data,big data,1
19,10.1016/j.advwatres.2023.104463,1,Big Data,data processing,2
19,10.1016/j.advwatres.2023.104463,7,Modeling,simulation,1
19,10.1016/j.advwatres.2023.104463,8,NLP,natural language processing,1
19,10.1016/j.advwatres.2023.104463,12,Data Analytics,statistical analysis,1
19,10.1016/j.advwatres.2023.104463,12,Data Analytics,data interpretation,1
