,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
1,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001100,10.1016/j.advwatres.2023.104475,2023-08-01,S0309170823001100,2-s2.0-85161636300,85161636300.0,0.0,"53984251100, 35610240400","60104134:60104134, 60022461",True
7,1,0,2023,https://www.sciencedirect.com/science/article/pii/S0309170823001215,10.1016/j.advwatres.2023.104486,2023-08-01,S0309170823001215,2-s2.0-85163143487,85163143487.0,0.0,"58264479500, 7006929576, 58369384900, 8519969000",60030856:60032781:60032781:60032781,True
19,1,1,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000982,10.1016/j.advwatres.2023.104463,2023-07-01,S0309170823000982,2-s2.0-85160420259,85160420259.0,0.0,"57211081797, 15725750100",60032086:60032086,True
24,1,2,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000775,10.1016/j.advwatres.2023.104442,2023-06-01,S0309170823000775,2-s2.0-85157994627,85157994627.0,0.0,"58235576800, 58236260700, 57272419000, 57216077018",60007751:60009512:60007751:60007751,True
64,1,6,2023,https://www.sciencedirect.com/science/article/pii/S0309170823000192,10.1016/j.advwatres.2023.104384,2023-02-01,S0309170823000192,2-s2.0-85147103816,85147103816.0,0.0,"56719959500, 57218532760","60016087, 60016087, 60016087:60016087, 128131440",True
77,1,7,2023,https://www.sciencedirect.com/science/article/pii/S0309170822002226,10.1016/j.advwatres.2022.104359,2023-01-01,S0309170822002226,2-s2.0-85143628331,85143628331.0,0.0,"55338683000, 7004782811, 57997760100, 57190062010, 14629944800",60018229:60018229:60018229:60018229:60018229,True
94,1,9,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001713,10.1016/j.advwatres.2022.104308,2022-11-01,S0309170822001713,2-s2.0-85138463719,85138463719.0,3.0,"57201334806, 6507417920, 57194764703",60002970:60002970:117890670,True
97,1,10,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001646,10.1016/j.advwatres.2022.104300,2022-10-01,S0309170822001646,2-s2.0-85136568825,85136568825.0,3.0,"36619129000, 57201351037, 57200684825, 57478283200",60010884:60010884:60010884:60010884,True
99,1,10,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001518,10.1016/j.advwatres.2022.104287,2022-10-01,S0309170822001518,2-s2.0-85136319081,85136319081.0,4.0,"57851453900, 24777164600, 57851454000, 7202204726","60007278:60007278:60007278:60007278, 60007278",True
106,1,11,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001397,10.1016/j.advwatres.2022.104274,2022-09-01,S0309170822001397,2-s2.0-85135695648,85135695648.0,1.0,"57837599800, 57213555867, 57208861055, 7401847849",60000745:60000745:60000745:60000745,True
138,1,13,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001105,10.1016/j.advwatres.2022.104239,2022-07-01,S0309170822001105,2-s2.0-85131452609,85131452609.0,3.0,"57207238767, 7404456922, 57022431700","60105111, 60105111, 60030835:60105111, 60105111:60105111, 60105111",True
140,1,13,2022,https://www.sciencedirect.com/science/article/pii/S0309170822001142,10.1016/j.advwatres.2022.104243,2022-07-01,S0309170822001142,2-s2.0-85133206465,85133206465.0,4.0,"55715457700, 57201009531, 57881682400, 57772513400, 57209204907, 35226809800, 9237931000",60029306:60029306:60029306:60018179:60029306:60002092:60029306,True
142,1,14,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000756,10.1016/j.advwatres.2022.104203,2022-06-01,S0309170822000756,2-s2.0-85128517072,85128517072.0,2.0,"57210556788, 26634644000",60007566:60007566,True
160,1,14,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000896,10.1016/j.advwatres.2022.104217,2022-06-01,S0309170822000896,2-s2.0-85130386363,85130386363.0,2.0,"57217870394, 56123452600",60008827:60008827,True
166,1,15,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000422,10.1016/j.advwatres.2022.104166,2022-05-01,S0309170822000422,2-s2.0-85127163682,85127163682.0,0.0,"57209135909, 56818766700, 27967660700",60019656:60019656:60019656,True
170,1,15,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000458,10.1016/j.advwatres.2022.104169,2022-05-01,S0309170822000458,2-s2.0-85127765594,85127765594.0,1.0,"57193403701, 55631444800, 55571370200, 57566648500, 57644488300, 6603931579",60012070:60084916:60012070:60012070:60084916:60012070,True
180,1,16,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000240,10.1016/j.advwatres.2022.104146,2022-04-01,S0309170822000240,2-s2.0-85125598043,85125598043.0,1.0,"57203179112, 7103349955, 14048725200",127797122:60015815:60032442,True
188,1,17,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000057,10.1016/j.advwatres.2022.104126,2022-03-01,S0309170822000057,2-s2.0-85123290277,85123290277.0,8.0,"57212026914, 15623116400, 57205145903, 57346337000, 57347139100, 7006399320, 57211219633","60018038:60018038:60004750, 60075923:60018038:60018038:60018038, 60015881:60020547, 60008665",True
189,1,17,2022,https://www.sciencedirect.com/science/article/pii/S0309170822000082,10.1016/j.advwatres.2022.104130,2022-03-01,S0309170822000082,2-s2.0-85123602985,85123602985.0,9.0,"57204200910, 23767199100, 23478139400, 6701640413, 8294840700, 56784004400, 6602739014","60003003, 60021199, 60026905:60021199:60026905:60003003:60086944:60086944:60003003",True
193,1,17,2022,https://www.sciencedirect.com/science/article/pii/S030917082200001X,10.1016/j.advwatres.2022.104122,2022-03-01,S030917082200001X,2-s2.0-85123871724,85123871724.0,0.0,"57204645576, 35230640400, 57189854164","60025858:60025858, 60029445:60025858",True
201,1,18,2022,https://www.sciencedirect.com/science/article/pii/S030917082100227X,10.1016/j.advwatres.2021.104075,2022-02-01,S030917082100227X,2-s2.0-85122515008,85122515008.0,5.0,"56875034700, 24491921500, 25030624100, 7003946703, 7005140533, 57211105639","60000221, 60000221:60000221:60000221, 60029241:60027550:60277579:60000221, 60000221, 60009037",True
202,1,18,2022,https://www.sciencedirect.com/science/article/pii/S0309170821002591,10.1016/j.advwatres.2021.104110,2022-02-01,S0309170821002591,2-s2.0-85121965020,85121965020.0,4.0,"57207982388, 39863226400, 55617333200, 57217847897","60106385:60106385, 60025278:60106385:60007155, 60272288",True
215,1,19,2022,https://www.sciencedirect.com/science/article/pii/S0309170821002281,10.1016/j.advwatres.2021.104076,2022-01-01,S0309170821002281,2-s2.0-85119201374,85119201374.0,12.0,"57221588218, 57220731395, 23161710900, 57221590407, 57192113682, 57639835500",60120074:60121523:60120074:60120074:60120074:60024324,True
230,1,20,2021,https://www.sciencedirect.com/science/article/pii/S0309170821002177,10.1016/j.advwatres.2021.104064,2021-12-01,S0309170821002177,2-s2.0-85117926440,85117926440.0,8.0,"56829195400, 15047020400, 56480821100, 7005204147",60027666:60027666:60027666:60015150,True
232,1,20,2021,https://www.sciencedirect.com/science/article/pii/S0309170821002141,10.1016/j.advwatres.2021.104061,2021-12-01,S0309170821002141,2-s2.0-85118503804,85118503804.0,2.0,"56340230100, 55915835900, 53983632500, 7103381012, 57203074833, 7102024878",112871493:60017761:60024324:60024324:60024324:60024324,True
235,1,21,2021,https://www.sciencedirect.com/science/article/pii/S0309170821002050,10.1016/j.advwatres.2021.104051,2021-11-01,S0309170821002050,2-s2.0-85116549417,85116549417.0,5.0,"57219784370, 57215084336, 57034330100","60014966:60014966:60105683, 60271961",True
239,1,22,2021,https://www.sciencedirect.com/science/article/pii/S0309170821001792,10.1016/j.advwatres.2021.104024,2021-10-01,S0309170821001792,2-s2.0-85114723381,85114723381.0,1.0,57220960913,60012614,True
