Validation_Set,Topics,Coherence
100% Corpus,2,0.5581929520984337
100% Corpus,3,0.5383488228574006
100% Corpus,4,0.463402150535413
100% Corpus,5,0.46009656381815073
100% Corpus,6,0.4209120677924359
100% Corpus,7,0.48713182204252276
100% Corpus,8,0.4554506198557922
100% Corpus,9,0.5379656289469472
100% Corpus,10,0.5386629894120383
100% Corpus,11,0.47627554949768486
100% Corpus,12,0.4440074236844769
100% Corpus,13,0.45644136838637794
100% Corpus,14,0.4591370807336395
100% Corpus,15,0.4590461272805547
100% Corpus,16,0.4589665430091055
100% Corpus,17,0.45891938106773567
100% Corpus,18,0.4581647900058182
100% Corpus,19,0.4581647900058183
100% Corpus,20,0.4581647900058183
100% Corpus,21,0.45816479000581833
100% Corpus,22,0.45816479000581833
100% Corpus,23,0.45816479000581845
100% Corpus,24,0.4581647900058183
100% Corpus,25,0.4581647900058183
100% Corpus,26,0.45816479000581833
100% Corpus,27,0.45816479000581833
100% Corpus,28,0.4581647900058184
100% Corpus,29,0.4581647900058184
100% Corpus,30,0.4581647900058184
100% Corpus,31,0.45816479000581845
100% Corpus,32,0.4581647900058183
100% Corpus,33,0.4581647900058183
100% Corpus,34,0.45816479000581833
100% Corpus,35,0.45816479000581833
100% Corpus,36,0.45816479000581833
100% Corpus,37,0.4581647900058183
100% Corpus,38,0.4581647900058183
100% Corpus,39,0.4581647900058182
100% Corpus,40,0.4581647900058183
100% Corpus,41,0.4581647900058183
100% Corpus,42,0.4581647900058182
100% Corpus,43,0.4581647900058182
100% Corpus,44,0.45816479000581817
100% Corpus,45,0.45816479000581817
100% Corpus,46,0.45816479000581817
100% Corpus,47,0.4581647900058181
100% Corpus,48,0.4581647900058183
100% Corpus,49,0.4581647900058182
