Validation_Set,Topics,Coherence
100% Corpus,2,0.26560192977538194
100% Corpus,3,0.3255572897022723
100% Corpus,4,0.34813652161268016
100% Corpus,5,0.3652041083826786
100% Corpus,6,0.3585132327081694
100% Corpus,7,0.35217842161322305
100% Corpus,8,0.36091988600231295
100% Corpus,9,0.3570362649456592
100% Corpus,10,0.35593468542272744
100% Corpus,11,0.33443849441068624
100% Corpus,12,0.3488696150855508
100% Corpus,13,0.363846457436054
100% Corpus,14,0.3697169968734362
100% Corpus,15,0.36670545812731603
100% Corpus,16,0.3867294130845475
100% Corpus,17,0.419359839389508
100% Corpus,18,0.397080110042185
100% Corpus,19,0.389536362599904
100% Corpus,20,0.35569965328987807
100% Corpus,21,0.40875384368496687
100% Corpus,22,0.4208839690754514
100% Corpus,23,0.3946158999659358
100% Corpus,24,0.35432628733549376
100% Corpus,25,0.3825959446882113
100% Corpus,26,0.3985454159769749
100% Corpus,27,0.4415906849012484
100% Corpus,28,0.43439552829333633
100% Corpus,29,0.44864533557069064
100% Corpus,30,0.3929465184160679
100% Corpus,31,0.4310586900657003
100% Corpus,32,0.39334307380526295
100% Corpus,33,0.3881827464156159
100% Corpus,34,0.37558722404258965
100% Corpus,35,0.3639827388540917
100% Corpus,36,0.38905742215724065
100% Corpus,37,0.42326039430699064
100% Corpus,38,0.37440689235119423
100% Corpus,39,0.3908844195336829
100% Corpus,40,0.34519042162895364
100% Corpus,41,0.357487352836559
100% Corpus,42,0.37138652492105734
100% Corpus,43,0.35985529573449937
100% Corpus,44,0.39401158800778335
100% Corpus,45,0.37688831325523103
100% Corpus,46,0.37278036416331184
100% Corpus,47,0.4084999143442465
100% Corpus,48,0.37049139372605394
100% Corpus,49,0.3316402994196466
