,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,Modeling,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi
1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104475
7,48,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104486
19,62,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104463
24,31,0,0,0,0,0,0,42,0,0,2,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,1,10.1016/j.advwatres.2023.104442
64,78,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104384
77,14,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104359
94,41,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2022.104308
97,31,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104300
99,31,1,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104287
106,80,2,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104274
138,1,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104239
140,24,0,0,0,0,0,0,16,1,0,2,0,0,0,0,0,1,0,19,0,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104243
142,13,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104203
160,28,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,1,0,14,0,4,0,0,0,0,0,3,0,0,10.1016/j.advwatres.2022.104217
166,59,1,0,0,0,0,0,21,1,0,1,0,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104166
170,29,0,0,0,0,0,0,15,1,0,5,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104169
180,5,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104146
188,10,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104126
189,10,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104130
193,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,10.1016/j.advwatres.2022.104122
201,21,2,0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,10.1016/j.advwatres.2021.104075
202,22,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104110
215,66,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104076
230,22,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104064
232,14,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104061
235,25,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.104051
239,0,0,0,0,0,1,0,100,0,0,0,0,3,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,10.1016/j.advwatres.2021.104024
264,74,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,0,1,0,80,0,0,0,0,0,0,10.1016/j.advwatres.2021.104017
290,0,0,0,0,0,0,0,29,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103939
291,44,1,0,0,0,0,0,28,0,0,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103941
298,22,3,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103948
307,44,8,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,15,3,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.103920
325,27,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103907
329,31,2,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103878
345,33,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,2,0,13,2,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103840
348,0,0,0,0,0,0,0,41,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.1016/j.advwatres.2020.103842
351,17,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103797
353,1,1,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103796
355,26,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103799
358,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103801
361,60,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103819
366,18,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,16,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103715
367,16,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103821
373,50,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,1,0,33,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103753
395,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103719
420,2,0,0,0,0,0,0,44,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103707
421,72,1,0,0,0,0,0,1,0,0,3,0,3,0,1,0,0,0,37,1,0,9,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103708
438,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1,10.1016/j.advwatres.2020.103676
441,61,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103683
456,133,18,0,1,0,0,0,18,0,0,0,0,6,0,1,0,0,0,56,5,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103619
471,74,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,16,6,9,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103656
474,32,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103595
481,26,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103610
496,84,0,0,0,1,0,0,21,0,0,3,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,1,0,1,10.1016/j.advwatres.2020.103600
500,11,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103554
502,11,0,0,0,0,0,0,28,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103540
