index,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi,journal
7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104486,Advances in Water Resources
11,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104493,Advances in Water Resources
19,62,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,28,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104463,Advances in Water Resources
24,31,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,1,10.1016/j.advwatres.2023.104442,Advances in Water Resources
26,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104460,Advances in Water Resources
35,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104440,Advances in Water Resources
64,78,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2023.104384,Advances in Water Resources
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,10.1016/j.advwatres.2022.104335,Advances in Water Resources
70,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104340,Advances in Water Resources
77,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104359,Advances in Water Resources
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104353,Advances in Water Resources
92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104310,Advances in Water Resources
94,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2022.104308,Advances in Water Resources
97,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104300,Advances in Water Resources
99,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104287,Advances in Water Resources
106,80,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104274,Advances in Water Resources
111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104238,Advances in Water Resources
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104253,Advances in Water Resources
128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104264,Advances in Water Resources
129,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104267,Advances in Water Resources
130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10.1016/j.advwatres.2022.104266,Advances in Water Resources
138,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104239,Advances in Water Resources
139,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104241,Advances in Water Resources
140,24,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,19,0,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2022.104243,Advances in Water Resources
142,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104203,Advances in Water Resources
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104200,Advances in Water Resources
156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104194,Advances in Water Resources
160,28,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,14,0,4,0,0,0,0,0,3,0,0,10.1016/j.advwatres.2022.104217,Advances in Water Resources
166,59,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,22,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104166,Advances in Water Resources
170,29,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104169,Advances in Water Resources
180,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104146,Advances in Water Resources
185,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104106,Advances in Water Resources
188,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104126,Advances in Water Resources
189,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2022.104130,Advances in Water Resources
201,21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,10.1016/j.advwatres.2021.104075,Advances in Water Resources
202,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104110,Advances in Water Resources
204,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104103,Advances in Water Resources
215,66,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104076,Advances in Water Resources
216,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.104078,Advances in Water Resources
218,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104085,Advances in Water Resources
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10.1016/j.advwatres.2021.104063,Advances in Water Resources
230,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104064,Advances in Water Resources
232,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104061,Advances in Water Resources
235,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.104051,Advances in Water Resources
239,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,10.1016/j.advwatres.2021.104024,Advances in Water Resources
260,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104011,Advances in Water Resources
264,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,80,0,0,0,0,0,0,10.1016/j.advwatres.2021.104017,Advances in Water Resources
269,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103965,Advances in Water Resources
276,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103968,Advances in Water Resources
290,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103939,Advances in Water Resources
291,44,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103941,Advances in Water Resources
298,22,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103948,Advances in Water Resources
304,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103910,Advances in Water Resources
305,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2021.103915,Advances in Water Resources
307,44,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,3,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.103920,Advances in Water Resources
312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103936,Advances in Water Resources
